model_name,log_path
openai/gpt-4o_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T22-29-44+00-00_legalbench-initial-aggregated_KMpMtFzAP5yhvWhdsaAxuC.eval
openai/gpt-4o-mini_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T22-30-03+00-00_legalbench-initial-aggregated_795cK6HmfChTvzEVpAaLxA.eval
openai/o3-mini_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T22-30-13+00-00_legalbench-initial-aggregated_YnqcDSPWooe7rWeyeXzsoa.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T22-30-51+00-00_legalbench-initial-aggregated_TaBLKcg34Ey2S4rJ5vCnnR.eval
anthropic/claude-3-5-sonnet-latest_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T22-30-59+00-00_legalbench-initial-aggregated_YSSy4FXEnoeWAGDGrRNxq9.eval
openai/gpt-4o_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-47-55+00-00_legalbench-initial-aggregated_4irmw4e96kmSXc6u6QWg3T.eval
openai/gpt-4o-mini_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-48-24+00-00_legalbench-initial-aggregated_JnT6U7MvYFHf92d3TReimh.eval
openai/o3-mini_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-48-40+00-00_legalbench-initial-aggregated_FCB2b5TFMYoQT2MLSrgWJt.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-48-59+00-00_legalbench-initial-aggregated_PwSEfKSh6FEMaiHyfcfSi9.eval
anthropic/claude-3-5-sonnet-latest_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-49-09+00-00_legalbench-initial-aggregated_Cp5peM68ygHxXuprPvzDoS.eval
openai/gpt-4o_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-49-35+00-00_legalbench-initial-aggregated_nFALmitMLsVKUpGNSZLJV2.eval
openai/gpt-4o-mini_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-50-11+00-00_legalbench-initial-aggregated_a3u9Dk2AzFQawc3FnTD23s.eval
openai/o3-mini_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-50-29+00-00_legalbench-initial-aggregated_jHBmCaXohACUKT8EvUUXgd.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_38/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-51-19+00-00_legalbench-initial-aggregated_5XZ6wEJgmPjuGqAvmbCXGt.eval
