timestamp,eval_model,generator_model,re_eval_model,initial_log_path,adaptive_log_path,re_eval_log_path,use_cot,similarity_threshold,score_threshold,use_embeddings,filter_incorrect,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer,judge_model,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,num_epochs
2025-04-07T19:21:58.387592,openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T19-09-54+00-00_adaptive-politeness_PwSAgjnPfWqqGbiWewXLhk.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T19-21-14+00-00_re-evaluate-adaptive-politeness_a2cG5sxPan6s4pYZbYzfi5.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o_openai_gpt-4o_20250407_192108.csv,200
2025-04-07T19:22:24.751220,openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T19-09-54+00-00_adaptive-politeness_PwSAgjnPfWqqGbiWewXLhk.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T19-22-00+00-00_re-evaluate-adaptive-politeness_atohQYWNhCjRxyGrmwixK2.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o_openai_gpt-4o_20250407_192108.csv,200
2025-04-07T19:22:47.275348,openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T19-09-54+00-00_adaptive-politeness_PwSAgjnPfWqqGbiWewXLhk.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T19-22-27+00-00_re-evaluate-adaptive-politeness_KUUVx8iJ4dwGoUosQaxUQz.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o_openai_gpt-4o_20250407_192108.csv,200
2025-04-07T19:23:57.589459,openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T19-09-54+00-00_adaptive-politeness_PwSAgjnPfWqqGbiWewXLhk.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T19-22-49+00-00_re-evaluate-adaptive-politeness_7drLDT7WQ4QsRdJmQBWMqp.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o_openai_gpt-4o_20250407_192108.csv,200
2025-04-07T19:24:38.408645,openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T19-09-54+00-00_adaptive-politeness_PwSAgjnPfWqqGbiWewXLhk.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T19-24-00+00-00_re-evaluate-adaptive-politeness_nvH298fX2CqhPhYdV4CbCy.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o_openai_gpt-4o_20250407_192108.csv,200
2025-04-07T19:36:55.999097,openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T19-24-38+00-00_adaptive-politeness_bzpf4fofgMHTds333AiyD3.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T19-36-11+00-00_re-evaluate-adaptive-politeness_UBifSofzTZMUKTdwRUSQLW.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250407_193604.csv,200
2025-04-07T19:37:23.162248,openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T19-24-38+00-00_adaptive-politeness_bzpf4fofgMHTds333AiyD3.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T19-36-58+00-00_re-evaluate-adaptive-politeness_fYYqEDiVP7NWK9SZBiy4dN.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250407_193604.csv,200
2025-04-07T19:37:43.813032,openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T19-24-38+00-00_adaptive-politeness_bzpf4fofgMHTds333AiyD3.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T19-37-25+00-00_re-evaluate-adaptive-politeness_Ac5yDGigS7K2sWt5jPp83A.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250407_193604.csv,200
2025-04-07T19:39:49.339803,openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T19-24-38+00-00_adaptive-politeness_bzpf4fofgMHTds333AiyD3.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T19-37-46+00-00_re-evaluate-adaptive-politeness_8mvqjJhz2qKrcmYZw9zP4i.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250407_193604.csv,200
2025-04-07T19:40:20.770862,openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/initial/politeness_200_nocot/openai_gpt-4o/2025-04-07T18-57-52+00-00_politeness-n-shot_HArzsdwb6o9F3FcTnjxrmb.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T19-24-38+00-00_adaptive-politeness_bzpf4fofgMHTds333AiyD3.eval,/home/davisrbr/Desktop/adaptive_evals/logs/politeness/adaptive/politeness_200_nocot/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T19-39-51+00-00_re-evaluate-adaptive-politeness_KwXDwr9c5mBqfuwWTWZ8Yc.eval,True,0.6,4,True,True,,,,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,politeness_200_nocot/novelty_politeness_openai_gpt-4o-mini_openai_gpt-4o_20250407_193604.csv,200
