model_name,log_path
openai/gpt-4o_initial,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/initial/cyberbullying_100_4/2025-04-07T13-30-05+00-00_cyberbullying-task_8G7VeUYCCoq5oLQAvqoP9N.eval
openai/gpt-4o-mini_initial,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/initial/cyberbullying_100_4/2025-04-07T13-30-44+00-00_cyberbullying-task_bUTdFMRceNPdyYWkp2hch9.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_initial,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/initial/cyberbullying_100_4/2025-04-07T13-31-20+00-00_cyberbullying-task_VNfbaeRtzw6rzQsSZvFYAT.eval
openai/o3-mini_initial,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/initial/cyberbullying_100_4/2025-04-07T13-32-09+00-00_cyberbullying-task_VPMGiRSXGs62arBeZNh3vQ.eval
anthropic/claude-3-5-sonnet-latest_initial,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/initial/cyberbullying_100_4/2025-04-07T13-33-28+00-00_cyberbullying-task_hnTH5FXkwLwkq5m6uxNAaR.eval
openai/gpt-4o_together/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO_jailbreak,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/jailbreak/cyberbullying_100_4/2025-04-07T13-34-13+00-00_cyberbullying-jailbreak-task_d4n9NsKZM8f57hQJCnHqGF.eval
openai/gpt-4o-mini_together/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO_jailbreak,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/jailbreak/cyberbullying_100_4/2025-04-07T13-42-05+00-00_cyberbullying-jailbreak-task_SCmGJ7kETuhfTWpsVFbduh.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_together/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO_jailbreak,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/jailbreak/cyberbullying_100_4/2025-04-07T13-50-34+00-00_cyberbullying-jailbreak-task_nQcQsrWedzQzJzjHwAFFB9.eval
openai/o3-mini_together/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO_jailbreak,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/jailbreak/cyberbullying_100_4/2025-04-07T13-58-31+00-00_cyberbullying-jailbreak-task_KXSMZw4ywLpwkfzoSgnUwD.eval
anthropic/claude-3-5-sonnet-latest_together/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO_jailbreak,/home/davisrbr/Desktop/adaptive_evals/logs/cyberbullying/jailbreak/cyberbullying_100_4/2025-04-07T14-08-23+00-00_cyberbullying-jailbreak-task_6uEjkBsF8ucaDAjU6n7AjB.eval
