,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
72,iter2_h4_q1,2,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,P,Will CRISPR Therapeutics invest more than $2.2 billion in genetic engineering research and development for rare diseases in 2027?,This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $2.2 billion in genetic engineering research and development for rare diseases in 2027.,0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.9296743152343148
73,iter2_h4_q1,2,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,Q_given_P,"Given that CRISPR Therapeutics invests more than $2.2 billion in genetic engineering research and development, will the company develop a new treatment for beta-thalassemia using gene editing technology by 2030?",This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has developed a new treatment for beta-thalassemia using gene editing technology by 2030.,0.8300000000000001,"[0.75, 0.95, 0.75, 0.95, 0.75]",0.9296743152343148
74,iter2_h4_q1,2,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,P_and_Q,Will CRISPR Therapeutics invest more than $2.2 billion in genetic engineering research and development and develop a new treatment for beta-thalassemia using gene editing technology by 2030?,"This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $2.2 billion in genetic engineering research and development for rare diseases in 2027, and the company develops a new treatment for beta-thalassemia using gene editing technology by 2030.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.9296743152343148
9,iter1_h1_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,P,Will IBM invest more than $6 billion in quantum computing research and development in 2027?,This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $6 billion in quantum computing research and development in 2027.,0.27,"[0.25, 0.15, 0.35, 0.25, 0.35]",0.9223611516546456
10,iter1_h1_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,Q_given_P,"Given that IBM invests more than $6 billion in quantum computing research and development, will the company's quantum computing technology achieve a 30% increase in adoption among Fortune 500 companies by 2030?","This question resolves as YES if IBM's official website or a reputable tech news source reports that the company's quantum computing technology has achieved a 30% increase in adoption among Fortune 500 companies by 2030, as measured by a reputable market research firm.",0.53,"[0.45, 0.65, 0.65, 0.45, 0.45]",0.9223611516546456
11,iter1_h1_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,P_and_Q,Will IBM invest more than $6 billion in quantum computing research and development and achieve a 30% increase in adoption among Fortune 500 companies by 2030?,"This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $6 billion in quantum computing research and development in 2027, and the company's quantum computing technology achieves a 30% increase in adoption among Fortune 500 companies by 2030, as measured by a reputable market research firm.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.9223611516546456
340,iter8_h2_q0,8,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology and Medicine,,Q_given_P,"Given that CRISPR Therapeutics invests more than $1 billion in genetic engineering research and development, will the company develop a new treatment for sickle cell disease using gene editing technology by 2028?",This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has developed a new treatment for sickle cell disease using gene editing technology by 2028.,0.8400000000000001,"[1.0, 0.75, 0.75, 0.75, 0.95]",0.8480669144409478
341,iter8_h2_q0,8,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology and Medicine,,P_and_Q,Will CRISPR Therapeutics invest more than $1 billion in genetic engineering research and development and develop a new treatment for sickle cell disease using gene editing technology by 2028?,"This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $1 billion in genetic engineering research and development for rare diseases in 2026, and the company develops a new treatment for sickle cell disease using gene editing technology by 2028.",0.71,"[0.75, 0.75, 0.75, 0.65, 0.65]",0.8480669144409478
339,iter8_h2_q0,8,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology and Medicine,,P,Will CRISPR Therapeutics invest more than $1 billion in genetic engineering research and development for rare diseases in 2026?,This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $1 billion in genetic engineering research and development for rare diseases in 2026.,0.25,"[0.25, 0.25, 0.25, 0.25, 0.25]",0.8480669144409478
83,iter3_h1_q0,3,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Biotechnology,,P_and_Q,Will CRISPR Therapeutics invest more than $2.5 billion in genetic engineering research and development and develop a new treatment for sickle cell disease using gene editing technology by 2031?,"This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $2.5 billion in genetic engineering research and development for rare diseases in 2028, and the company develops a new treatment for sickle cell disease using gene editing technology by 2031.",0.61,"[0.45, 0.45, 0.75, 0.65, 0.75]",0.8248266935115237
