,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
148,iter5_h0_q1,5,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that NVIDIA develops a quantum computing chip for AGI applications, will Apple integrate the chip into its AGI research by 2032?","This question resolves as YES if Apple officially announces the integration of NVIDIA's quantum computing chip into its AGI research by December 31, 2032, as reported by Apple's official website or reputable tech outlets like MacRumors.",0.2439999999999999,"[0.35, 0.12, 0.35, 0.25, 0.15]",0.7295184158393574
149,iter5_h0_q1,5,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both NVIDIA develop a quantum computing chip for AGI applications by 2030 and Apple integrate the chip into its AGI research by 2032?,"This question resolves as YES if both conditions are met, as reported by NVIDIA's official website and Apple's official website. Resolution date: December 31, 2032. Resolution source: NVIDIA's official website and Apple's official website.",0.488,"[0.32, 0.65, 0.35, 0.32, 0.8]",0.7295184158393574
147,iter5_h0_q1,5,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will NVIDIA develop a quantum computing chip for AGI applications by 2030?,"This question resolves as YES if NVIDIA officially announces the development of a quantum computing chip for AGI applications by December 31, 2030, as reported by NVIDIA's official website or reputable tech outlets like Wired.",0.3839999999999999,"[0.35, 0.35, 0.35, 0.65, 0.22]",0.7295184158393574
248,iter8_h2_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both IBM announce a major breakthrough in quantum computing by 2028 and Microsoft integrate quantum computing into its AGI research by 2030?,"This question resolves as YES if both conditions are met, as reported by IBM's official blog and Microsoft's official blog. Resolution date: December 31, 2030. Resolution source: IBM's official blog and Microsoft's official blog.",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.7148785562383453
247,iter8_h2_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that IBM announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2030?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2030, as reported by Microsoft's official blog or reputable tech outlets like CNET.",0.418,"[0.35, 0.35, 0.42, 0.42, 0.55]",0.7148785562383453
246,iter8_h2_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will IBM announce a major breakthrough in quantum computing by 2028?,"This question resolves as YES if IBM officially announces a major breakthrough in quantum computing by December 31, 2028, as reported by IBM's official blog or reputable tech outlets like The Verge.",0.55,"[0.55, 0.55, 0.45, 0.55, 0.65]",0.7148785562383453
392,iter4_h0_q2,4,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns.",AI and Computing,,P_and_Q,Will both NVIDIA develop a quantum computing chip for AGI applications by 2029 and Google integrate the chip into its AGI research by 2030?,"This question resolves as YES if both conditions are met, as reported by NVIDIA's official website and Google's official blog. Resolution date: December 31, 2030. Resolution source: NVIDIA's official website and Google's official blog.",0.462,"[0.32, 0.24, 0.55, 0.55, 0.65]",0.7028376349373502
390,iter4_h0_q2,4,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns.",AI and Computing,,P,Will NVIDIA develop a quantum computing chip for AGI applications by 2029?,"This question resolves as YES if NVIDIA officially announces the development of a quantum computing chip for AGI applications by December 31, 2029, as reported by NVIDIA's official website or reputable tech outlets like Wired. Resolution source: NVIDIA's official website or Wired.",0.246,"[0.35, 0.42, 0.12, 0.12, 0.22]",0.7028376349373502
391,iter4_h0_q2,4,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns.",AI and Computing,,Q_given_P,"Given that NVIDIA develops a quantum computing chip for AGI applications, will Google integrate the chip into its AGI research by 2030?","This question resolves as YES if Google officially announces the integration of NVIDIA's quantum computing chip into its AGI research by December 31, 2030, as reported by Google's official blog or reputable tech outlets like The Next Web. Resolution source: Google's official blog or The Next Web.",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.7028376349373502
175,iter6_h0_q0,6,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2030?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2030, as reported by Microsoft's official blog or reputable tech outlets like CNET.",0.4979999999999999,"[0.65, 0.42, 0.42, 0.35, 0.65]",0.6493148371437574
176,iter6_h0_q0,6,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2028 and Microsoft integrate quantum computing into its AGI research by 2030?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Microsoft's official blog. Resolution date: December 31, 2030. Resolution source: Google's official blog and Microsoft's official blog.",0.65,"[0.65, 0.55, 0.55, 0.75, 0.75]",0.6493148371437574
174,iter6_h0_q0,6,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will Google announce a major breakthrough in quantum computing by 2028?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2028, as reported by Google's official blog or reputable tech outlets like The Verge.",0.524,"[0.35, 0.42, 0.65, 0.55, 0.65]",0.6493148371437574
618,iter10_h4_q0,10,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P,Will the use of genetic engineering in agriculture lead to significant increases in crop yields by 2029?,"This question resolves as YES if the use of genetic engineering in agriculture leads to significant increases in crop yields by December 31, 2029, as reported by the US Department of Agriculture or reputable agricultural outlets like AgWeb. Resolution source: US Department of Agriculture or AgWeb.",0.75,"[0.85, 0.65, 0.75, 0.85, 0.65]",0.6087268114001516
620,iter10_h4_q0,10,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P_and_Q,Will both genetic engineering in agriculture lead to significant increases in crop yields by 2029 and the increased yields lead to decreased food prices by 2030?,"This question resolves as YES if both conditions are met, as reported by the US Department of Agriculture and the Bureau of Labor Statistics. Resolution date: December 31, 2030. Resolution source: US Department of Agriculture and Bureau of Labor Statistics.",0.65,"[0.75, 0.65, 0.55, 0.65, 0.65]",0.6087268114001516
619,iter10_h4_q0,10,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,Q_given_P,"Given that genetic engineering in agriculture leads to significant increases in crop yields, will the increased yields lead to decreased food prices by 2030?","This question resolves as YES if the increased crop yields resulting from genetic engineering lead to decreased food prices by December 31, 2030, as reported by the Bureau of Labor Statistics or reputable news outlets like CNBC. Resolution source: Bureau of Labor Statistics or CNBC.",0.364,"[0.42, 0.35, 0.35, 0.35, 0.35]",0.6087268114001516
28,iter1_h3_q0,1,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,Overestimation of quantum computing impact,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Apple integrate quantum computing into its AGI research by 2030?","This question resolves as YES if Apple officially announces the integration of quantum computing into its AGI research by December 31, 2030, as reported by Apple's official website or reputable tech outlets like MacRumors.",0.42,"[0.42, 0.42, 0.42, 0.42, 0.42]",0.5542317178782251
29,iter1_h3_q0,1,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,Overestimation of quantum computing impact,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2028 and Apple integrate quantum computing into its AGI research by 2030?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Apple's official website. Resolution date: December 31, 2030. Resolution source: Google's official blog and Apple's official website.",0.542,"[0.8, 0.55, 0.28, 0.28, 0.8]",0.5542317178782251
27,iter1_h3_q0,1,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,Overestimation of quantum computing impact,P,Will Google announce a major breakthrough in quantum computing by 2028?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2028, as reported by Google's official blog or reputable tech outlets like The Verge.",0.504,"[0.55, 0.55, 0.42, 0.65, 0.35]",0.5542317178782251
182,iter6_h1_q0,6,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P_and_Q,Will both genetic engineering in agriculture lead to significant increases in crop yields by 2032 and the increased yields lead to decreased food prices by 2034?,"This question resolves as YES if both conditions are met, as reported by the US Department of Agriculture and the Bureau of Labor Statistics. Resolution date: December 31, 2034. Resolution source: US Department of Agriculture and Bureau of Labor Statistics.",0.63,"[0.65, 0.65, 0.65, 0.55, 0.65]",0.5367134884815294
181,iter6_h1_q0,6,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,Q_given_P,"Given that genetic engineering in agriculture leads to significant increases in crop yields, will the increased yields lead to decreased food prices by 2034?","This question resolves as YES if the increased crop yields resulting from genetic engineering lead to decreased food prices by December 31, 2034, as reported by the Bureau of Labor Statistics or reputable news outlets like CNN.",0.3779999999999999,"[0.35, 0.35, 0.42, 0.35, 0.42]",0.5367134884815294
180,iter6_h1_q0,6,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Biotechnology,,P,Will the use of genetic engineering in agriculture lead to significant increases in crop yields by 2032?,"This question resolves as YES if the use of genetic engineering in agriculture leads to significant increases in crop yields by December 31, 2032, as reported by the US Department of Agriculture or reputable agricultural outlets like AgWeb.",0.77,"[0.65, 0.75, 0.85, 0.75, 0.85]",0.5367134884815294
11,iter1_h1_q0,1,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Genetic Engineering,Overgeneralization of genetic engineering impact,P_and_Q,Will both genetic engineering in agriculture lead to significant increases in crop yields by 2031 and the increased yields lead to decreased food prices by 2033?,"This question resolves as YES if both conditions are met, as reported by the US Department of Agriculture and the Bureau of Labor Statistics. Resolution date: December 31, 2033. Resolution source: US Department of Agriculture and Bureau of Labor Statistics.",0.63,"[0.65, 0.65, 0.65, 0.55, 0.65]",0.5332822782651191
10,iter1_h1_q0,1,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Genetic Engineering,Overgeneralization of genetic engineering impact,Q_given_P,"Given that genetic engineering in agriculture leads to significant increases in crop yields, will the increased yields lead to decreased food prices by 2033?","This question resolves as YES if the increased crop yields resulting from genetic engineering lead to decreased food prices by December 31, 2033, as reported by the Bureau of Labor Statistics or reputable news outlets like CNN.",0.392,"[0.42, 0.35, 0.42, 0.42, 0.35]",0.5332822782651191
9,iter1_h1_q0,1,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Genetic Engineering,Overgeneralization of genetic engineering impact,P,Will the use of genetic engineering in agriculture lead to significant increases in crop yields by 2031?,"This question resolves as YES if the use of genetic engineering in agriculture leads to significant increases in crop yields by December 31, 2031, as reported by the US Department of Agriculture or reputable agricultural outlets like AgWeb.",0.75,"[0.75, 0.75, 0.85, 0.75, 0.65]",0.5332822782651191
566,iter9_h0_q0,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2028 and Microsoft integrate quantum computing into its AGI research by 2029?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Microsoft's official blog. Resolution date: December 31, 2029. Resolution source: Google's official blog and Microsoft's official blog.",0.53,"[0.55, 0.55, 0.65, 0.55, 0.35]",0.5288383989288786
564,iter9_h0_q0,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will Google announce a major breakthrough in quantum computing by 2028?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2028, as reported by Google's official blog or reputable tech outlets like The Verge. Resolution source: Google's official blog or The Verge.",0.3919999999999999,"[0.35, 0.35, 0.42, 0.42, 0.42]",0.5288383989288786
565,iter9_h0_q0,9,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2029?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2029, as reported by Microsoft's official blog or reputable tech outlets like TechCrunch. Resolution source: Microsoft's official blog or TechCrunch.",0.5439999999999999,"[0.35, 0.65, 0.65, 0.42, 0.65]",0.5288383989288786
236,iter8_h0_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P_and_Q,Will both Google announce a major breakthrough in quantum computing by 2028 and Microsoft integrate quantum computing into its AGI research by 2030?,"This question resolves as YES if both conditions are met, as reported by Google's official blog and Microsoft's official blog. Resolution date: December 31, 2030. Resolution source: Google's official blog and Microsoft's official blog.",0.6479999999999999,"[0.49, 0.65, 0.65, 0.8, 0.65]",0.5112407975403888
234,iter8_h0_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,P,Will Google announce a major breakthrough in quantum computing by 2028?,"This question resolves as YES if Google officially announces a major breakthrough in quantum computing by December 31, 2028, as reported by Google's official blog or reputable tech outlets like The Verge.",0.5439999999999999,"[0.65, 0.42, 0.35, 0.65, 0.65]",0.5112407975403888
235,iter8_h0_q0,8,The model assumes a strong correlation between the development of quantum computing and the advancement of Artificial General Intelligence (AGI) without considering the impact of regulatory frameworks and ethical concerns on their joint development,AI and Computing,,Q_given_P,"Given that Google announces a major breakthrough in quantum computing, will Microsoft integrate quantum computing into its AGI research by 2030?","This question resolves as YES if Microsoft officially announces the integration of quantum computing into its AGI research by December 31, 2030, as reported by Microsoft's official blog or reputable tech outlets like CNET.",0.604,"[0.65, 0.42, 0.65, 0.65, 0.65]",0.5112407975403888
