check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
not,Will the Los Angeles Lakers win the 2025 NBA Championship?,0.15,Will the Los Angeles Lakers not win the 2025 NBA Championship?,0.75,,,0.17785726558372916
not,"Will Bitcoin surpass $100,000 by December 31, 2026?",0.35,"Will Bitcoin not surpass $100,000 by December 31, 2026?",0.6,,,0.07302044673452433
not,Will Taylor Swift release a new album in 2025?,0.75,Will Taylor Swift not release a new album in 2025?,0.35,,,0.15498951475455527
not,Will Canada implement a nationwide ban on single-use plastics by 2027?,0.85,Will Canada not implement a nationwide ban on single-use plastics by 2027?,0.25,,,0.17785726558372938
not,Will Elon Musk become the CEO of Tesla again by 2026?,0.25,Will Elon Musk not become the CEO of Tesla again by 2026?,0.25,,,0.8151654213688497
not,Will Japan host the Summer Olympics in 2030?,0.05,Will Japan not host the Summer Olympics in 2030?,0.95,,,0.0
not,"Will the Global Renewable Energy Capacity exceed 10,000 GW by 2035?",0.85,"Will the Global Renewable Energy Capacity not exceed 10,000 GW by 2035?",0.35,,,0.33511010700911786
not,Will India achieve a GDP growth rate above 7% in 2025?,0.65,Will India not achieve a GDP growth rate above 7% in 2025?,0.55,,,0.28977005745465223
not,Will NASA successfully land humans on Mars by 2032?,0.35,Will NASA not successfully land humans on Mars by 2032?,0.85,,,0.33511010700911786
not,Will South Korea achieve universal 5G coverage by 2026?,0.75,Will South Korea not achieve universal 5G coverage by 2026?,0.25,,,0.0
not,Will Climate Change lead to the extinction of any currently living mammal species by 2040?,0.65,Will Climate Change not lead to the extinction of any currently living mammal species by 2040?,0.3,,,0.07547878141048874
not,Will the United Kingdom leave the European Union without a trade deal by the end of 2025?,0.05,Will the United Kingdom not leave the European Union without a trade deal by the end of 2025?,0.9,,,0.13447731414584205
not,Will Tesla Model Y become the best-selling electric vehicle globally in 2027?,0.65,Will Tesla Model Y not become the best-selling electric vehicle globally in 2027?,0.4,,,0.07302044673452433
not,Will Netflix release a sequel to the original 'Black Mirror' series by 2025?,0.65,Will Netflix not release a sequel to the original 'Black Mirror' series by 2025?,0.35,,,0.0
not,Will Australia achieve 50% renewable energy generation by 2030?,0.75,Will Australia not achieve 50% renewable energy generation by 2030?,0.35,,,0.15498951475455527
not,Will the FIFA World Cup incorporate VAR technology in all matches by 2026?,0.95,Will the FIFA World Cup not incorporate VAR technology in all matches by 2026?,0.05,,,0.0
not,Will India host the Cricket World Cup in 2031?,0.95,Will India not host the Cricket World Cup in 2031?,0.15,,,0.23847565601348417
