check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
not,"Will a single artist's album surpass 1 billion streams on Spotify within 24 hours of release before December 31, 2024?",0.05,"Will no single artist's album surpass 1 billion streams on Spotify within 24 hours of release before December 31, 2024?",0.95,,,0.0
not,Will a movie released in 2024 have a global opening weekend box office exceeding $600 million?,0.15,Will no movie released in 2024 have a global opening weekend box office exceeding $600 million?,0.75,,,0.17785726558372916
not,Will the highest-grossing Broadway show in 2024 have weekly ticket sales between $3 million and $3.1 million during any week?,0.25,Will the highest-grossing Broadway show in 2024 avoid having weekly ticket sales between $3 million and $3.1 million during any week?,0.35,,,0.6199580590182205
not,Will a video game released in 2024 sell over 20 million copies worldwide within one week of release?,0.15,Will no video game released in 2024 sell over 20 million copies worldwide within one week of release?,0.85,,,0.0
not,Will any artist release an album in 2024 that debuts at number one in over 25 countries simultaneously?,0.65,Will no artist release an album in 2024 that debuts at number one in over 25 countries simultaneously?,0.75,,,0.6199580590182204
not,"Will a single painting sell for over $500 million at auction before December 31, 2024?",0.15,"Will no single painting sell for over $500 million at auction before December 31, 2024?",0.85,,,0.0
not,"Will a player score over 100 goals in a single European football season by May 31, 2025?",0.01,"Will no player score over 100 goals in a single European football season by May 31, 2025?",0.95,,,0.16626280667901455
not,Will a novel released in 2024 sell over 10 million copies in its first month and win the Man Booker Prize?,0.001,Will no novel released in 2024 both sell over 10 million copies in its first month and win the Man Booker Prize?,0.95,,,0.22149406919820339
not,Will an esports tournament in 2024 have a prize pool exceeding $100 million?,0.1,Will no esports tournament in 2024 have a prize pool exceeding $100 million?,0.95,,,0.1344773141458423
not,Will a single episode of a new 2024 television series exceed 50 million live viewers in the US?,0.05,Will no single episode of a new 2024 television series exceed 50 million live viewers in the US?,0.85,,,0.23847565601348447
not,Will a musical artist have more than 5 songs debut simultaneously in the top 10 of the Billboard Hot 100 in 2024?,0.25,Will no musical artist have more than 5 songs debut simultaneously in the top 10 of the Billboard Hot 100 in 2024?,0.85,,,0.17785726558372938
not,Will an actor win both an Academy Award and a Tony Award for acting in the same calendar year 2024?,0.02,Will no actor win both an Academy Award and a Tony Award for acting in the same calendar year 2024?,0.95,,,0.11536834093195392
not,Will the FIFA Women's World Cup 2027 final have a television viewership exceeding 2 billion worldwide?,0.25,Will the FIFA Women's World Cup 2027 final have a television viewership of 2 billion or less worldwide?,0.85,,,0.17785726558372938
not,Will any book released in 2024 sell over 5 million copies in one week and be banned in 10 or more countries?,0.01,Will no book released in 2024 sell over 5 million copies in one week or be banned in 10 or more countries?,0.85,,,0.37667310810109095
not,Will an artist perform a live concert to an in-person audience of over 1 million people in 2024?,0.01,Will no artist perform a live concert to an in-person audience of over 1 million people in 2024?,0.95,,,0.16626280667901455
not,"Will a single video on YouTube reach over 1 billion views within 24 hours of upload before December 31, 2024?",0.01,"Will no video on YouTube reach over 1 billion views within 24 hours of upload before December 31, 2024?",0.95,,,0.16626280667901455
not,Will any athlete win gold medals in both the Summer and Winter Olympics by 2026?,0.01,Will no athlete win gold medals in both the Summer and Winter Olympics by 2026?,0.95,,,0.16626280667901455
not,Will a feature film released in 2024 be entirely generated by artificial intelligence and win an Academy Award?,0.02,Will no feature film released in 2024 be entirely generated by artificial intelligence and win an Academy Award?,0.95,,,0.11536834093195392
not,Will a musical artist have a single stay at number one on the Billboard Hot 100 for over 30 consecutive weeks in 2024?,0.01,Will no musical artist have a single stay at number one on the Billboard Hot 100 for over 30 consecutive weeks in 2024?,0.98,,,0.05788523013430177
not,Will a museum exhibit in 2024 attract over 20 million visitors within six months of opening?,0.05,Will no museum exhibit in 2024 attract over 20 million visitors within six months of opening?,0.95,,,0.0
or,"Will a single artist's album surpass 1 billion streams on Spotify within 24 hours of release before December 31, 2024?",0.05,Will any artist fail to surpass 1 billion streams on Spotify within 24 hours of release and have their album win Album of the Year at the 2025 Grammy Awards?,0.95,"Will either a single artist's album surpass 1 billion streams on Spotify within 24 hours of release before December 31, 2024, or will any artist's album win Album of the Year at the 2025 Grammy Awards without surpassing 1 billion streams within 24 hours?",0.35,1.1419774415581345
or,Will a movie released in 2024 have a global opening weekend box office exceeding $600 million?,0.25,Will a movie released in 2024 fail to have a global opening weekend box office exceeding $600 million AND win the Palme d'Or at the 2024 Cannes Film Festival?,0.85,"Will either a movie released in 2024 have a global opening weekend box office exceeding $600 million, or will a movie released in 2024 fail to achieve this and win the Palme d'Or at the 2024 Cannes Film Festival?",0.75,0.17785726558372916
or,Will the highest-grossing Broadway show in 2024 have weekly ticket sales between $3 million and $3.1 million during any week?,0.25,Will the highest-grossing Broadway show in 2024 have weekly ticket sales less than $3 million or greater than $3.1 million during every week?,0.65,Will the highest-grossing Broadway show in 2024 have weekly ticket sales that are either between $3 million and $3.1 million during any week or less than $3 million or greater than $3.1 million during every week?,0.95,0.07341351283319221
or,Will a video game released in 2024 sell over 20 million copies worldwide within one week of release?,0.15,Will a major 2024 video game release receive a Metacritic score below 70 and still sell over 20 million copies worldwide within one week?,0.05,"Will either of the following occur for a video game released in 2024: (a) Sell over 20 million copies worldwide within one week of release, or (b) Receive a Metacritic score below 70 and still sell over 20 million copies worldwide within one week?",0.05,0.2384756560134845
or,Will any artist release an album in 2024 that debuts at number one in over 25 countries simultaneously?,0.65,"Given that no artist releases an album that debuts at number one in over 25 countries in 2024, will a song from any such album win Song of the Year at the 2025 Grammy Awards?",0.65,"Will either of the following occur: (a) An artist releases an album in 2024 that debuts at number one in over 25 countries simultaneously, or (b) Given that no such album achieves this, a song from any 2024 album wins Song of the Year at the 2025 Grammy Awards?",0.65,0.0
or,"Will a single painting sell for over $500 million at auction before December 31, 2024?",0.25,"Will no painting sell for over $500 million at auction before December 31, 2024, AND will an artwork set a new record for the highest price paid for a sculpture?",0.55,"Will either a single painting sell for over $500 million at auction before December 31, 2024, or will an artwork set a new record for the highest price paid for a sculpture?",0.35,0.28977005745465206
or,"Will a player score over 100 goals in a single European football season by May 31, 2025?",0.01,"Will no player score over 100 goals in the 2024-2025 season, AND will a goalkeeper win the Ballon d'Or in 2025?",0.05,"Will either a player score over 100 goals in a single European football season by May 31, 2025, or will no player score over 100 goals and a goalkeeper win the Ballon d'Or in 2025?",0.05,0.0
or,Will a novel released in 2024 sell over 10 million copies in its first month and win the Man Booker Prize?,0.001,"Will no novel released in 2024 sell over 10 million copies in its first month, AND will the Man Booker Prize be awarded to a debut author?",0.65,"Will either of the following occur in 2024: (a) A novel sells over 10 million copies in its first month and wins the Man Booker Prize, or (b) No novel sells over 10 million copies in its first month and the Man Booker Prize is awarded to a debut author?",0.35,0.4440912253619913
or,Will an esports tournament in 2024 have a prize pool exceeding $100 million?,0.15,"Will no esports tournament in 2024 have a prize pool exceeding $100 million AND will an esports event draw live attendance exceeding 200,000 spectators?",0.15,"Will either an esports tournament in 2024 have a prize pool exceeding $100 million, or will no tournament exceed this prize pool while an event draws over 200,000 live spectators?",0.65,0.5031466797140959
or,Will a single episode of a new 2024 television series exceed 50 million live viewers in the US?,0.05,Will no new television episode achieve over 50 million live US viewers in 2024 AND will a streaming-only series win the Emmy for Outstanding Drama Series?,0.65,"Will either a single episode of a new 2024 television series exceed 50 million live viewers in the US, or will no new television episode achieve this and a streaming-only series win the Emmy for Outstanding Drama Series?",0.65,0.0
or,Will a musical artist have more than 5 songs debut simultaneously in the top 10 of the Billboard Hot 100 in 2024?,0.25,Will no artist achieve this feat in 2024 AND will the Billboard Hot 100 see more than 10 new entries in the top 10 in a single week?,0.05,"Will either a musical artist have more than 5 songs debut simultaneously in the top 10 of the Billboard Hot 100 in 2024, or will no artist achieve this feat while the Billboard Hot 100 sees more than 10 new entries in the top 10 in a single week?",0.25,0.0
or,Will an actor win both an Academy Award and a Tony Award for acting in the same calendar year 2024?,0.02,Will no actor win both awards in 2024 AND will an actor under 30 win the Academy Award for Best Actor?,0.15,"Will either an actor win both an Academy Award and a Tony Award for acting in 2024, or will no actor win both awards and an actor under 30 win the Academy Award for Best Actor?",0.25,0.1380628620071627
or,Will the FIFA Women's World Cup 2027 final have a television viewership exceeding 2 billion worldwide?,0.25,Will the 2027 final not reach 2 billion viewers AND will the host country win the tournament?,0.15,"Will either the FIFA Women's World Cup 2027 final have a television viewership exceeding 2 billion worldwide, or will the host country win the tournament if the viewership does not reach 2 billion?",0.15,0.17785726558372922
or,Will any book released in 2024 sell over 5 million copies in one week and be banned in 10 or more countries?,0.01,Will no such book exist in 2024 AND will a 2024 book win both the Pulitzer Prize and the Nobel Prize in Literature?,0.01,"Will either a book released in 2024 sell over 5 million copies in one week and be banned in 10 or more countries, or will no such book exist and a 2024 book win both the Pulitzer Prize and the Nobel Prize in Literature?",0.05,0.1151974481440097
