model_name,log_path
openai/gpt-4o_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T22-28-44+00-00_legalbench-initial-aggregated_SaGpvxiLstvTZKcPnUys8d.eval
openai/gpt-4o-mini_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-22+00-00_legalbench-initial-aggregated_ecwTFykH8jHKUQJX3XEBZ4.eval
openai/o3-mini_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-10-34+00-00_legalbench-initial-aggregated_JHgPFrvQfwZCAkgqeSjNHH.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-11-00+00-00_legalbench-initial-aggregated_DniMxbHMg8RE8WwizkU3nb.eval
anthropic/claude-3-5-sonnet-latest_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T23-11-14+00-00_legalbench-initial-aggregated_VUJmsYuJkxaMjLLwabsAym.eval
openai/gpt-4o_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-48-51+00-00_legalbench-initial-aggregated_AAcXZnpYReiPhs9eLbbpcf.eval
openai/gpt-4o-mini_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval
openai/o3-mini_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-24+00-00_legalbench-initial-aggregated_Cu7nsjcpadCKAoyqTsBZic.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-46+00-00_legalbench-initial-aggregated_9e6iRz5zqv8xWdm84aCiE2.eval
anthropic/claude-3-5-sonnet-latest_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-53+00-00_legalbench-initial-aggregated_SnEysmupLDj8PvyiSzaihi.eval
openai/gpt-4o_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-20+00-00_legalbench-initial-aggregated_Jwdh8DxsurTMsyrfDtM8QQ.eval
openai/gpt-4o-mini_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval
