target_model_name,P,Q
o1-mini,"Will the number of 5G subscriptions worldwide increase by more than 50% in 2025 compared to 2024?

This question resolves as YES if the number of 5G subscriptions worldwide increases by more than 50% in 2025 compared to 2024, as reported by reputable sources such as the International Telecommunication Union (ITU) or industry reports.","Will the number of IoT devices connected to 5G networks increase by more than 30% in 2026?

This question resolves as YES if the number of IoT devices connected to 5G networks increases by more than 30% in 2026, as reported by credible sources such as market research firms or industry reports."
o1-mini,"Will Tesla's market share in the electric vehicle market increase by more than 15% in 2030?

This question resolves as YES if Tesla's market share in the electric vehicle market increases by more than 15% in 2030, as reported by Tesla's official sales reports or reputable industry sources.","Will the company's investment in autonomous driving technology increase by at least 20% in the next 2 years?

This question resolves as YES if Tesla's investment in autonomous driving technology increases by at least 20% in the next 2 years, as reported by Tesla's official financial reports or reputable tech news sources."
o1-mini,"Will the price of solar energy decrease by more than 12% in 2027 compared to 2026?

This question resolves as YES if the price of solar energy decreases by more than 12% in 2027 compared to 2026, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.","Will the adoption of solar energy increase by more than 18% in the next 3 years?

This question resolves as YES if the adoption of solar energy, measured by installed capacity (in Gigawatts), increases by more than 18% in the next 3 years (2028, 2029, and 2030 combined), as reported by credible sources such as academic journals, research institutions, or industry reports."
o1-mini,"Will the number of public charging stations for electric vehicles increase by more than 50% in 2025 compared to 2024?

This question resolves as YES if the number of public charging stations for electric vehicles increases by more than 50% in 2025 compared to 2024, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.","Will the development of autonomous driving technology for passenger vehicles accelerate by at least 15% in the next 5 years?

This question resolves as YES if the development of autonomous driving technology for passenger vehicles accelerates by at least 15% in the next 5 years, as reported by credible sources such as academic journals, research institutions, or tech companies, and measured by the number of research papers, patents, or breakthroughs (defined as a successfully demonstrated Level 4 or 5 autonomous driving system in a real-world setting) in autonomous driving technology."
o1-mini,"Will the number of genetic engineering startups increase by more than 25% in 2025 compared to 2024?

This question resolves as YES if the number of genetic engineering startups increases by more than 25% in 2025 compared to 2024, as reported by reputable sources such as venture capital firms, startup accelerators, or industry reports.","Will the development of new medical treatments for rare diseases accelerate by at least 15% in the next 5 years?

This question resolves as YES if the development of new medical treatments for rare diseases accelerates by at least 15% in the next 5 years.  Acceleration is measured by the combined number of (1) new drug approvals by major regulatory bodies (e.g., FDA, EMA) for rare diseases, and (2) new clinical trials (Phase 2 or later) initiated for rare disease treatments, as reported by credible sources such as academic journals, research institutions, or pharmaceutical companies."
o1-mini,"Will the price of solar panels decrease by more than 10% in 2025 compared to 2024?

This question resolves as YES if the price of solar panels decreases by more than 10% in 2025 compared to 2024, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.","Will the adoption of solar energy increase by at least 15% in the next 2 years?

This question resolves as YES if the adoption of solar energy, measured by total installed solar capacity (in Gigawatts), increases by at least 15% in the next 2 years (2026 and 2027 combined), as reported by credible sources such as academic journals, research institutions, or industry reports."
o1-mini,"Will Qualcomm's revenue from 5G-related products increase by more than 25% in 2027?

This question resolves as YES if Qualcomm's revenue from 5G-related products increases by more than 25% in 2027, as reported by Qualcomm's official financial reports or reputable tech news sources.","Will the company's investment in IoT research and development increase by at least 20% in the next 2 years?

This question resolves as YES if Qualcomm's investment in IoT research and development increases by at least 20% in the next 2 years (2028 and 2029 combined), as reported by Qualcomm's official financial reports or reputable tech news sources."
o1-mini,"Will the price of solar energy decrease by more than 15% in 2027 compared to 2026?

This question resolves as YES if the price of solar energy decreases by more than 15% in 2027 compared to 2026, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.","Will the adoption of solar energy increase by at least 20% in the next 2 years?

This question resolves as YES if the adoption of solar energy, as measured by total installed capacity (Gigawatts), increases by at least 20% in the next two years (2028 and 2029), as reported by credible sources such as academic journals, research institutions, or industry reports."
o1-mini,"Will IBM's investment in AGI research increase by more than 30% in 2027?

This question resolves as YES if IBM's investment in AGI research increases by more than 30% in 2027, as reported by IBM's official financial reports or reputable tech news sources.","Will the development of quantum computing accelerate by at least 25% in the next 5 years?

This question resolves as YES if the development of quantum computing accelerates by at least 25% in the next 5 years. Acceleration is defined as an increase of at least 25% in the combined number of: (1) peer-reviewed publications on quantum computing in reputable scientific journals, (2)  patents related to quantum computing filed with major patent offices (e.g., USPTO, EPO), and (3) demonstrable improvements in key quantum computing metrics (e.g., qubit count, coherence times, gate fidelity) reported by credible sources such as academic journals, research institutions, or tech companies."
o1-mini,"Will the number of electric vehicles sold worldwide increase by more than 40% in 2025?

This question resolves as YES if the number of electric vehicles sold worldwide increases by more than 40% in 2025, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.","Will the development of autonomous driving technology for passenger vehicles accelerate by at least 10% in the next 5 years?

This question resolves as YES if the development of autonomous driving technology for passenger vehicles accelerates by at least 10% in the next 5 years. Acceleration is measured by the combined number of (1) research papers published in peer-reviewed journals related to autonomous driving, (2) patents filed related to autonomous driving, and (3) announcements of achieving Level 3 or higher autonomy in commercially available vehicles , as reported by credible sources such as academic journals, research institutions, or tech companies."
