question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,The model assumes a strong correlation between a country's economic performance and its ability to host international sporting events,,,P,Will Serbia's GDP growth rate exceed 3% in 2024?,"Serbia's GDP growth rate has been steadily increasing over the past few years, with a current rate of 2.5%. According to the World Bank, Serbia's GDP growth rate is expected to reach 3.2% in 2024. Resolution source: World Bank GDP growth rate data, resolution date: December 31, 2024, resolution criteria: Serbia's GDP growth rate exceeds 3% as reported by the World Bank",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.15708333221828708
iter1_h0_q0,1,The model assumes a strong correlation between a country's economic performance and its ability to host international sporting events,,,Q_given_P,"Given that Serbia's GDP growth rate exceeds 3% in 2024, will Serbia host a major international cultural event in 2024?","Serbia has a rich cultural heritage and has hosted several international events in the past. With a growing economy, Serbia may have the resources to host a major international cultural event in 2024. Resolution source: Serbian Ministry of Culture official website, resolution date: December 31, 2024, resolution criteria: Announcement of a major international cultural event on the Serbian Ministry of Culture official website",0.5700000000000001,"[0.65, 0.45, 0.65, 0.65, 0.45]",0.15708333221828708
iter1_h0_q0,1,The model assumes a strong correlation between a country's economic performance and its ability to host international sporting events,,,P_and_Q,Will both Serbia's GDP growth rate exceed 3% in 2024 and Serbia host a major international cultural event in 2024?,"This question requires both conditions to be met. Resolution source: World Bank GDP growth rate data and Serbian Ministry of Culture official website, resolution date: December 31, 2024, resolution criteria: Serbia's GDP growth rate exceeds 3% as reported by the World Bank and announcement of a major international cultural event on the Serbian Ministry of Culture official website",0.274,"[0.24, 0.24, 0.3, 0.24, 0.35]",0.15708333221828708
iter1_h0_q1,1,The model assumes a strong correlation between a country's economic performance and its ability to host international sporting events,,,P,Will Greece's tourism revenue exceed $20 billion in 2024?,"Greece's tourism industry has been growing steadily over the past few years, with a current revenue of $18 billion. According to the Greek National Tourism Organization, Greece's tourism revenue is expected to reach $22 billion in 2024. Resolution source: Greek National Tourism Organization revenue data, resolution date: December 31, 2024, resolution criteria: Greece's tourism revenue exceeds $20 billion as reported by the Greek National Tourism Organization",0.75,"[0.75, 0.75, 0.75, 0.75, 0.75]",0.17901575631499864
iter1_h0_q1,1,The model assumes a strong correlation between a country's economic performance and its ability to host international sporting events,,,Q_given_P,"Given that Greece's tourism revenue exceeds $20 billion in 2024, will Greece qualify for the Grand Final in Eurovision 2024?","Greece has a strong track record in Eurovision, having qualified for the Grand Final in most recent years. With a growing tourism industry, Greece may have the resources to invest in its Eurovision entry. Resolution source: Eurovision official website, resolution date: May 11, 2024, resolution criteria: Greece qualifies for the Grand Final in Eurovision 2024 as announced on the Eurovision official website",0.784,"[0.75, 0.82, 0.82, 0.78, 0.75]",0.17901575631499864
iter1_h0_q1,1,The model assumes a strong correlation between a country's economic performance and its ability to host international sporting events,,,P_and_Q,Will both Greece's tourism revenue exceed $20 billion in 2024 and Greece qualify for the Grand Final in Eurovision 2024?,"This question requires both conditions to be met. Resolution source: Greek National Tourism Organization revenue data and Eurovision official website, resolution date: May 11, 2024, resolution criteria: Greece's tourism revenue exceeds $20 billion as reported by the Greek National Tourism Organization and Greece qualifies for the Grand Final in Eurovision 2024 as announced on the Eurovision official website",0.7040000000000001,"[0.73, 0.73, 0.68, 0.68, 0.7]",0.17901575631499864
iter1_h1_q0,1,The model overgeneralizes the impact of political events on market reactions,,,P,Will the US Federal Reserve raise interest rates by 50 basis points in Q3 2024?,"The US Federal Reserve has been raising interest rates to combat inflation, with a current rate of 2.5%. According to the Federal Reserve's economic projections, the interest rate is expected to reach 3.0% in Q3 2024. Resolution source: Federal Reserve economic projections, resolution date: September 30, 2024, resolution criteria: The US Federal Reserve raises interest rates by 50 basis points in Q3 2024 as reported by the Federal Reserve",0.22000000000000003,"[0.15, 0.5, 0.15, 0.15, 0.15]",0.11701657849923645
iter1_h1_q0,1,The model overgeneralizes the impact of political events on market reactions,,,Q_given_P,"Given that the US Federal Reserve raises interest rates by 50 basis points in Q3 2024, will the S&P 500 index decline by more than 5% in Q3 2024?","The S&P 500 index has been sensitive to interest rate changes, with a current value of 4,000. According to historical data, the S&P 500 index has declined by an average of 3% in response to a 50 basis point interest rate hike. Resolution source: S&P 500 index data, resolution date: September 30, 2024, resolution criteria: The S&P 500 index declines by more than 5% in Q3 2024 as reported by the S&P 500 index data",0.37,"[0.35, 0.35, 0.35, 0.35, 0.45]",0.11701657849923645
iter1_h1_q0,1,The model overgeneralizes the impact of political events on market reactions,,,P_and_Q,Will both the US Federal Reserve raise interest rates by 50 basis points in Q3 2024 and the S&P 500 index decline by more than 5% in Q3 2024?,"This question requires both conditions to be met. Resolution source: Federal Reserve economic projections and S&P 500 index data, resolution date: September 30, 2024, resolution criteria: The US Federal Reserve raises interest rates by 50 basis points in Q3 2024 as reported by the Federal Reserve and the S&P 500 index declines by more than 5% in Q3 2024 as reported by the S&P 500 index data",0.048,"[0.045, 0.05, 0.045, 0.05, 0.05]",0.11701657849923645
iter1_h1_q1,1,The model overgeneralizes the impact of political events on market reactions,,,P,Will the European Central Bank keep interest rates unchanged in Q2 2024?,"The European Central Bank has been maintaining a stable interest rate, with a current rate of 0%. According to the European Central Bank's economic projections, the interest rate is expected to remain unchanged in Q2 2024. Resolution source: European Central Bank economic projections, resolution date: June 30, 2024, resolution criteria: The European Central Bank keeps interest rates unchanged in Q2 2024 as reported by the European Central Bank",0.45,"[0.25, 0.75, 0.25, 0.25, 0.75]",0.10819740525481608
