question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,P,Will Apple reduce its carbon footprint by 25% by 2028 through the use of renewable energy sources?,"This question resolves as YES if Apple reduces its carbon footprint by 25% by 2028 through the use of renewable energy sources, as reported by Apple's official sustainability reports or other credible sources like Greenpeace. Resolution criteria: Official reports from Apple, Greenpeace, or other reputable environmental organizations. Resolution date: December 31, 2028.",0.74,"[0.72, 0.72, 0.72, 0.82, 0.72]",0.7393102242418671
iter1_h0_q0,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,Q_given_P,"Given the reduction in carbon footprint, will Apple's revenue increase by 12% YoY in 2029 due to improved brand image?","This question resolves as YES if, given the reduction in carbon footprint, Apple's revenue increases by 12% in 2029 due to improved brand image, as reported by Apple's official earnings reports or other credible sources like Bloomberg. Resolution criteria: Official reports from Apple, Bloomberg, or other reputable financial news outlets. Resolution date: December 31, 2029.",0.242,"[0.25, 0.23, 0.23, 0.25, 0.25]",0.7393102242418671
iter1_h0_q0,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,P_and_Q,Will Apple reduce its carbon footprint by 25% by 2028 and its revenue increase by 12% YoY in 2029?,"This question resolves as YES if both conditions are met: Apple reduces its carbon footprint by 25% by 2028 through the use of renewable energy sources, and Apple's revenue increases by 12% in 2029 due to improved brand image, as reported by Apple's official sustainability reports, Apple's official earnings reports, or other credible sources like Greenpeace or Bloomberg. Resolution criteria: Official reports from Apple, Greenpeace, Bloomberg, or other reputable sources. Resolution date: December 31, 2029.",0.616,"[0.62, 0.58, 0.58, 0.68, 0.62]",0.7393102242418671
iter1_h0_q1,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,P,Will Google reduce its water usage by 30% by 2029 through the use of efficient cooling systems?,"This question resolves as YES if Google reduces its water usage by 30% by 2029 through the use of efficient cooling systems, as reported by Google's official sustainability reports or other credible sources like the Environmental Protection Agency. Resolution criteria: Official reports from Google, EPA, or other reputable environmental organizations. Resolution date: December 31, 2029.",0.72,"[0.72, 0.72, 0.72, 0.72, 0.72]",0.6357312330018974
iter1_h0_q1,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,Q_given_P,"Given the reduction in water usage, will Google's data center energy efficiency increase by 15% in 2030?","This question resolves as YES if, given the reduction in water usage, Google's data center energy efficiency increases by 15% in 2030, as reported by Google's official blog or other credible sources like the U.S. Department of Energy. Resolution criteria: Official reports from Google, U.S. Department of Energy, or other reputable sources. Resolution date: December 31, 2030.",0.45999999999999996,"[0.62, 0.42, 0.42, 0.42, 0.42]",0.6357312330018974
iter1_h0_q1,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,P_and_Q,Will Google reduce its water usage by 30% by 2029 and its data center energy efficiency increase by 15% in 2030?,"This question resolves as YES if both conditions are met: Google reduces its water usage by 30% by 2029 through the use of efficient cooling systems, and Google's data center energy efficiency increases by 15% in 2030, as reported by Google's official sustainability reports, Google's official blog, or other credible sources like the Environmental Protection Agency or the U.S. Department of Energy. Resolution criteria: Official reports from Google, EPA, U.S. Department of Energy, or other reputable sources. Resolution date: December 31, 2030.",0.72,"[0.72, 0.72, 0.72, 0.72, 0.72]",0.6357312330018974
iter1_h0_q2,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,P,Will Amazon reduce its greenhouse gas emissions by 20% by 2027 through the use of renewable energy sources?,"This question resolves as YES if Amazon reduces its greenhouse gas emissions by 20% by 2027 through the use of renewable energy sources, as reported by Amazon's official sustainability reports or other credible sources like the Carbon Disclosure Project. Resolution criteria: Official reports from Amazon, Carbon Disclosure Project, or other reputable environmental organizations. Resolution date: December 31, 2027.",0.72,"[0.72, 0.72, 0.72, 0.72, 0.72]",0.5197827480940391
iter1_h0_q2,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,Q_given_P,"Given the reduction in greenhouse gas emissions, will Amazon's revenue increase by 10% YoY in 2028 due to improved brand image?","This question resolves as YES if, given the reduction in greenhouse gas emissions, Amazon's revenue increases by 10% in 2028 due to improved brand image, as reported by Amazon's official earnings reports or other credible sources like CNBC. Resolution criteria: Official reports from Amazon, CNBC, or other reputable financial news outlets. Resolution date: December 31, 2028.",0.16399999999999998,"[0.23, 0.12, 0.12, 0.23, 0.12]",0.5197827480940391
iter1_h0_q2,1,"The model underestimates the impact of environmental factors on company-specific operations, particularly in the tech industry",Tech Industry,Environmental underestimation,P_and_Q,Will Amazon reduce its greenhouse gas emissions by 20% by 2027 and its revenue increase by 10% YoY in 2028?,"This question resolves as YES if both conditions are met: Amazon reduces its greenhouse gas emissions by 20% by 2027 through the use of renewable energy sources, and Amazon's revenue increases by 10% in 2028 due to improved brand image, as reported by Amazon's official sustainability reports, Amazon's official earnings reports, or other credible sources like the Carbon Disclosure Project or CNBC. Resolution criteria: Official reports from Amazon, Carbon Disclosure Project, CNBC, or other reputable sources. Resolution date: December 31, 2028.",0.41200000000000003,"[0.42, 0.62, 0.42, 0.3, 0.3]",0.5197827480940391
iter1_h1_q0,1,"The model underestimates the impact of advancements in quantum computing on the development of artificial general intelligence (AGI) in the field of natural language processing, particularly in the context of language translation",AI and Computing,Quantum computing underestimation,P,Will IBM develop a quantum computer capable of performing complex calculations by 2032?,"This question resolves as YES if IBM develops a quantum computer capable of performing complex calculations by 2032, as reported by IBM's official blog or other credible sources like Wired. Resolution criteria: Official reports from IBM, Wired, or other reputable tech news outlets. Resolution date: December 31, 2032.",0.8320000000000001,"[0.82, 0.85, 0.85, 0.82, 0.82]",0.4983126146378734
iter1_h1_q0,1,"The model underestimates the impact of advancements in quantum computing on the development of artificial general intelligence (AGI) in the field of natural language processing, particularly in the context of language translation",AI and Computing,Quantum computing underestimation,Q_given_P,"Given IBM's development of a quantum computer, will the development of AGI in natural language processing accelerate by 30% in the next 3 years?","This question resolves as YES if, given IBM's development of a quantum computer capable of performing complex calculations, the development of AGI in natural language processing accelerates by 30% in the next 3 years, as reported by research papers published in top-tier AI conferences like NeurIPS or ICLR, or other credible sources like Harvard Business Review. Resolution criteria: Research papers published in top-tier AI conferences, or official reports from IBM, Harvard Business Review, or other reputable sources. Resolution date: December 31, 2035.",0.346,"[0.42, 0.25, 0.22, 0.22, 0.62]",0.4983126146378734
iter1_h1_q0,1,"The model underestimates the impact of advancements in quantum computing on the development of artificial general intelligence (AGI) in the field of natural language processing, particularly in the context of language translation",AI and Computing,Quantum computing underestimation,P_and_Q,Will IBM develop a quantum computer capable of performing complex calculations by 2032 and the development of AGI in natural language processing accelerate by 30% in the next 3 years?,"This question resolves as YES if both conditions are met: IBM develops a quantum computer capable of performing complex calculations by 2032, and the development of AGI in natural language processing accelerates by 30% in the next 3 years, as reported by IBM's official blog, research papers published in top-tier AI conferences, or other credible sources like Wired or Harvard Business Review. Resolution criteria: Official reports from IBM, research papers published in top-tier AI conferences, Wired, Harvard Business Review, or other reputable sources. Resolution date: December 31, 2035.",0.608,"[0.6, 0.62, 0.62, 0.62, 0.58]",0.4983126146378734
iter1_h1_q1,1,"The model underestimates the impact of advancements in quantum computing on the development of artificial general intelligence (AGI) in the field of natural language processing, particularly in the context of language translation",AI and Computing,Quantum computing underestimation,P,Will Google announce a breakthrough in quantum computing by 2029?,"This question resolves as YES if Google announces a breakthrough in quantum computing, such as the development of a quantum computer capable of performing complex calculations, by 2029, as reported by Google's official blog or other credible sources like MIT Technology Review. Resolution criteria: Official reports from Google, MIT Technology Review, or other reputable tech news outlets. Resolution date: December 31, 2029.",0.72,"[0.72, 0.72, 0.72, 0.72, 0.72]",0.427270632949185
iter1_h1_q1,1,"The model underestimates the impact of advancements in quantum computing on the development of artificial general intelligence (AGI) in the field of natural language processing, particularly in the context of language translation",AI and Computing,Quantum computing underestimation,Q_given_P,"Given Google's breakthrough in quantum computing, will the development of AGI in natural language processing accelerate by 25% in the next 2 years?","This question resolves as YES if, given Google's breakthrough in quantum computing, the development of AGI in natural language processing accelerates by 25% in the next 2 years, as reported by research papers published in top-tier AI conferences like NeurIPS or ICLR, or other credible sources like Forbes. Resolution criteria: Research papers published in top-tier AI conferences, or official reports from Google, Forbes, or other reputable sources. Resolution date: December 31, 2031.",0.48,"[0.42, 0.32, 0.42, 0.62, 0.62]",0.427270632949185
iter1_h1_q1,1,"The model underestimates the impact of advancements in quantum computing on the development of artificial general intelligence (AGI) in the field of natural language processing, particularly in the context of language translation",AI and Computing,Quantum computing underestimation,P_and_Q,Will Google announce a breakthrough in quantum computing by 2029 and the development of AGI in natural language processing accelerate by 25% in the next 2 years?,"This question resolves as YES if both conditions are met: Google announces a breakthrough in quantum computing by 2029, and the development of AGI in natural language processing accelerates by 25% in the next 2 years, as reported by Google's official blog, research papers published in top-tier AI conferences, or other credible sources like MIT Technology Review or Forbes. Resolution criteria: Official reports from Google, research papers published in top-tier AI conferences, MIT Technology Review, Forbes, or other reputable sources. Resolution date: December 31, 2031.",0.62,"[0.62, 0.62, 0.62, 0.62, 0.62]",0.427270632949185
iter1_h1_q2,1,"The model underestimates the impact of advancements in quantum computing on the development of artificial general intelligence (AGI) in the field of natural language processing, particularly in the context of language translation",AI and Computing,Quantum computing underestimation,P,Will Microsoft develop a quantum computer capable of performing complex calculations by 2035?,"This question resolves as YES if Microsoft develops a quantum computer capable of performing complex calculations by 2035, as reported by Microsoft's official blog or other credible sources like The Verge. Resolution criteria: Official reports from Microsoft, The Verge, or other reputable tech news outlets. Resolution date: December 31, 2035.",0.76,"[0.82, 0.72, 0.82, 0.72, 0.72]",0.40885031393461585
