check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
expevidence,Will the New York Yankees win the World Series in 2026?,0.1,Will Aaron Judge surpass 60 home runs in the 2026 MLB season?,0.15,"Given that Aaron Judge surpasses 60 home runs in the 2026 MLB season, will the New York Yankees win the World Series in 2026?",0.25,0.9260336294968238
expevidence,"Will Bitcoin exceed $100,000 in value by December 2025?",0.35,Will Ethereum surpass Bitcoin in market capitalization by December 2025?,0.35,"Given that Ethereum surpasses Bitcoin in market capitalization by December 2025, will Bitcoin exceed $100,000 in value by December 2025? Body: Given that Ethereum's market capitalization exceeds that of Bitcoin by December 31, 2025, this question asks if the price of Bitcoin will surpass $100,000 USD by December 31, 2025. Resolution date: December 31, 2025, source: CoinMarketCap.",0.55,0.44338658597819364
expevidence,Will the Tokyo Olympics introduce e-sports as a medal event in 2026?,0.15,Will Tokyo 2026 host the first fully virtual Olympic Games?,0.05,"Given that Tokyo 2026 hosts the first fully virtual Olympic Games, will the Tokyo Olympics introduce e-sports as a medal event in 2026? Body: Given that the 2026 Tokyo Olympic Games are conducted entirely virtually without physical venues, this question asks if e-sports will be officially included as a medal event in the 2026 Tokyo Olympic Games. Resolution date: August 2026, source: International Olympic Committee.",0.65,0.21697034573989404
expevidence,Will Tesla release a fully autonomous vehicle by mid-2027?,0.25,Will Tesla's autonomous vehicles achieve full regulatory approval in the US by mid-2027?,0.35,"Given that Tesla's autonomous vehicles achieve full regulatory approval in the US by mid-2027, will Tesla release a fully autonomous vehicle by mid-2027?",0.65,0.35526808841886814
expevidence,Will NASA successfully land humans on Mars by 2030?,0.15,Will SpaceX establish a permanent colony on Mars by 2030?,0.15,"Given that SpaceX establishes a permanent colony on Mars by 2030, will NASA successfully land humans on Mars by 2030?",0.85,0.19635174103406258
expevidence,Will the European Union implement a digital tax on large tech companies by 2025?,0.65,Will major US tech companies relocate their European headquarters by 2025 due to the EU digital tax?,0.25,"Given that the European Union implements a digital tax on large tech companies by 2025, will major US tech companies relocate their European headquarters by 2025 due to this tax?",0.15,0.07814050182030481
expevidence,Will the FIFA World Cup in 2026 be hosted by three countries simultaneously?,1.0,Will the 2026 FIFA World Cup see an expansion to 40 teams?,0.01,"Given that the 2026 FIFA World Cup sees an expansion to 40 teams, will it be hosted by three countries simultaneously? Body: Given that the 2026 FIFA World Cup expands its format to include 40 national teams, this question asks if the tournament will be hosted jointly by three countries. Resolution date: July 15, 2026, source: FIFA official announcements.",1.0,0.0
expevidence,Will Amazon achieve a market capitalization of $2 trillion by 2028?,0.65,Will Amazon acquire at least two major competitors by 2028?,0.35,"Given that Amazon acquires at least two major competitors by 2028, will it achieve a market capitalization of $2 trillion by 2028?",0.75,0.17389660790259892
expevidence,Will the Grammy Awards introduce a new category for virtual performances by 2025?,0.35,Will virtual reality performances win a Grammy in the new virtual performance category by 2025?,0.35,"Given that the Grammy Awards introduce a new category for virtual performances by 2025, will a virtual reality performance win a Grammy in that category by 2025?",0.65,0.5053001119411815
expevidence,Will China achieve carbon neutrality by 2060?,0.65,Will global carbon emissions peak before 2050 due to China's carbon neutrality efforts?,0.65,"Given that China achieves carbon neutrality by 2060, will global carbon emissions peak before 2050 due to China's carbon neutrality efforts?",0.65,0.0
