eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,task_name
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T22-40-20+00-00_adaptive-legal_gzUbpwgPscHnwjHVYhivKX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T22-42-12+00-00_re-evaluate-adaptive-legal_NQi2ccagu3GYNMCMvVJ6Xn.eval,True,False,False,150,0.9866666666666667,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,2,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_224208.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T22-40-20+00-00_adaptive-legal_gzUbpwgPscHnwjHVYhivKX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T22-42-14+00-00_re-evaluate-adaptive-legal_QZ8fwbqfUPgAZoVhgaEk68.eval,True,False,False,150,0.9866666666666667,,adaptive_legal_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,1,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_224208.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T22-40-20+00-00_adaptive-legal_gzUbpwgPscHnwjHVYhivKX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T22-42-16+00-00_re-evaluate-adaptive-legal_6zPqTgBae2xuDhQwvxkFDQ.eval,True,False,False,150,0.9866666666666667,,adaptive_legal_scorer,1.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,0,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_224208.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T22-40-20+00-00_adaptive-legal_gzUbpwgPscHnwjHVYhivKX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T22-42-18+00-00_re-evaluate-adaptive-legal_HdCwBKde5fbfBWKTrx3ovg.eval,True,False,False,150,0.9866666666666667,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,2,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_224208.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T22-40-20+00-00_adaptive-legal_gzUbpwgPscHnwjHVYhivKX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T22-42-25+00-00_re-evaluate-adaptive-legal_TTtoFniGhaFwZY7SiLasjM.eval,True,False,False,150,0.9866666666666667,,adaptive_legal_scorer,1.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,0,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_224208.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T22-42-27+00-00_adaptive-legal_KB2aTVGYxXG9cUTcwRBo7Y.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T22-44-07+00-00_re-evaluate-adaptive-legal_Mvae54KqHgKgGH2Rf7iTep.eval,True,False,False,150,0.98,,adaptive_legal_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,1,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_224403.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T22-42-27+00-00_adaptive-legal_KB2aTVGYxXG9cUTcwRBo7Y.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T22-44-09+00-00_re-evaluate-adaptive-legal_dDES3WMZmPEHRBXD3qJPcH.eval,True,False,False,150,0.98,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,2,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_224403.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T22-42-27+00-00_adaptive-legal_KB2aTVGYxXG9cUTcwRBo7Y.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T22-44-10+00-00_re-evaluate-adaptive-legal_HYYy8idVgpaSLgEK84wSkQ.eval,True,False,False,150,0.98,,adaptive_legal_scorer,1.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,0,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_224403.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T22-42-27+00-00_adaptive-legal_KB2aTVGYxXG9cUTcwRBo7Y.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T22-44-12+00-00_re-evaluate-adaptive-legal_a2KqPYCnS7QmpqkZmmWwEn.eval,True,False,False,150,0.98,,adaptive_legal_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,1,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_224403.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T22-42-27+00-00_adaptive-legal_KB2aTVGYxXG9cUTcwRBo7Y.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T22-44-18+00-00_re-evaluate-adaptive-legal_GGvPLxxrXMLB7PuvqJb57v.eval,True,False,False,150,0.98,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,2,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_224403.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-07T20-53-01+00-00_legalbench-initial-aggregated_eUXy8DtHu6wd68D8KQTTSC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/2025-04-07T22-44-20+00-00_adaptive-legal_4t6mnutXtzmW7CeXxxekYP.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T22-45-56+00-00_re-evaluate-adaptive-legal_JeNHCmuegyzFb7YN8qmUYs.eval,True,False,False,150,0.9466666666666667,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,3,3,3,legal_150_results_nocot/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o_20250407_224553.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
