State,Iteration,Attribute,MaxDiff,IsFinal
Alabama,0,Gender,0.003166793729213635,False
Alabama,0,Overall,0.8325745095795627,False
Alabama,1,Ethnicity,0.47611703657073756,False
Alabama,1,Overall,0.8325745095795627,False
Alabama,2,Education,0.0453518716651688,False
Alabama,2,Overall,0.8325745095795627,False
Alabama,3,Language,0.007633888049816753,False
Alabama,3,Overall,0.8325745095795627,False
Alabama,4,Age,0.05185039660393165,False
Alabama,4,Overall,0.8325745095795627,False
Alabama,5,DisabilityStatus,0.02156428147543954,False
Alabama,5,Overall,0.8325745095795627,False
Alabama,6,Income,0.24178282024521408,False
Alabama,6,Overall,0.8325745095795627,False
Alabama,7,SES,0.8325745095795627,False
Alabama,7,Overall,0.8325745095795627,False
Alabama,8,Occupation,0.2513680284831967,False
Alabama,8,Overall,0.8325745095795627,False
Alabama,9,Overall,0.8325745095795627,False
Alabama,10,Gender,0.00045334593328960615,False
Alabama,10,Overall,0.8325745095795627,False
Alabama,11,Ethnicity,0.4521129179138209,False
Alabama,11,Overall,0.8325745095795627,False
Alabama,12,Education,0.009781618777598422,False
Alabama,12,Overall,0.8325745095795627,False
Alabama,13,Language,0.0007477554022792265,False
Alabama,13,Overall,0.8325745095795627,False
Alabama,14,Age,0.004357439120791784,False
Alabama,14,Overall,0.8325745095795627,False
Alabama,15,DisabilityStatus,0.024982995712918454,False
Alabama,15,Overall,0.8325745095795627,False
Alabama,16,Income,0.24966200636190644,False
Alabama,16,Overall,0.8325745095795627,False
Alabama,17,SES,0.8325745095795627,False
Alabama,17,Overall,0.8325745095795627,False
Alabama,18,Occupation,0.1999486323810514,False
Alabama,18,Overall,0.8325745095795627,False
Alabama,19,Overall,0.8325745095795627,False
Alabama,20,Gender,3.498794581280329e-06,False
Alabama,20,Overall,0.8325745095795627,False
Alabama,21,Ethnicity,0.45437762816784,False
Alabama,21,Overall,0.8325745095795627,False
Alabama,22,Education,0.003918531852427742,False
Alabama,22,Overall,0.8325745095795627,False
Alabama,23,Language,0.0006500170180236339,False
Alabama,23,Overall,0.8325745095795627,False
Alabama,24,Age,0.002215076256159243,False
Alabama,24,Overall,0.8325745095795627,False
Alabama,25,DisabilityStatus,0.015485773782838663,False
Alabama,25,Overall,0.8325745095795627,False
Alabama,26,Income,0.24460322338987378,False
Alabama,26,Overall,0.8325745095795627,False
Alabama,27,SES,0.8325745095795627,False
Alabama,27,Overall,0.8325745095795627,False
Alabama,28,Occupation,0.19901976223424014,False
Alabama,28,Overall,0.8325745095795627,False
Alabama,29,Overall,0.8325745095795627,False
Alabama,30,Gender,0.0006811810728021284,False
Alabama,30,Overall,0.8325745095795627,False
Alabama,31,Ethnicity,0.45302503632323554,False
Alabama,31,Overall,0.8325745095795627,False
Alabama,32,Education,0.0015850313675692396,False
Alabama,32,Overall,0.8325745095795627,False
Alabama,33,Language,0.00027776466870664887,False
Alabama,33,Overall,0.8325745095795627,False
Alabama,34,Age,0.0004684593135202142,False
Alabama,34,Overall,0.8325745095795627,False
Alabama,35,DisabilityStatus,0.00901233548211916,False
Alabama,35,Overall,0.8325745095795627,False
Alabama,36,Income,0.24329274772182585,False
Alabama,36,Overall,0.8325745095795627,False
Alabama,37,SES,0.8325745095795627,False
Alabama,37,Overall,0.8325745095795627,False
Alabama,38,Occupation,0.19903943109075098,False
Alabama,38,Overall,0.8325745095795627,False
Alabama,39,Overall,0.8325745095795627,False
Alabama,40,Gender,0.0003780960336581263,False
Alabama,40,Overall,0.8325745095795627,False
Alabama,41,Ethnicity,0.4524719638526835,False
Alabama,41,Overall,0.8325745095795627,False
Alabama,42,Education,0.0009773218474857237,False
Alabama,42,Overall,0.8325745095795627,False
Alabama,43,Language,0.00011874439578028403,False
Alabama,43,Overall,0.8325745095795627,False
Alabama,44,Age,0.00036128151447267776,False
Alabama,44,Overall,0.8325745095795627,False
Alabama,45,DisabilityStatus,0.0052071581168816605,False
Alabama,45,Overall,0.8325745095795627,False
Alabama,46,Income,0.2429463286325999,False
Alabama,46,Overall,0.8325745095795627,False
Alabama,47,SES,0.8325745095795627,False
Alabama,47,Overall,0.8325745095795627,False
Alabama,48,Occupation,0.199036397632765,False
Alabama,48,Overall,0.8325745095795627,False
Alabama,49,Overall,0.8325745095795627,False
Alabama,50,Gender,0.00021272148578554972,False
Alabama,50,Overall,0.8325745095795627,False
Alabama,51,Ethnicity,0.45234922710641023,False
Alabama,51,Overall,0.8325745095795627,False
Alabama,52,Education,0.0006300226945815113,False
Alabama,52,Overall,0.8325745095795627,False
Alabama,53,Language,7.097798001794858e-05,False
Alabama,53,Overall,0.8325745095795627,False
Alabama,54,Age,0.0002345034506130994,False
Alabama,54,Overall,0.8325745095795627,False
Alabama,55,DisabilityStatus,0.0030161373054629625,False
Alabama,55,Overall,0.8325745095795627,False
Alabama,56,Income,0.24285778610177694,False
Alabama,56,Overall,0.8325745095795627,False
Alabama,57,SES,0.8325745095795627,False
Alabama,57,Overall,0.8325745095795627,False
Alabama,58,Occupation,0.19902165835631283,False
Alabama,58,Overall,0.8325745095795627,False
Alabama,59,Overall,0.8325745095795627,False
Alabama,60,Gender,0.00011805038074008678,False
Alabama,60,Overall,0.8325745095795627,False
Alabama,61,Ethnicity,0.4523354124443205,False
Alabama,61,Overall,0.8325745095795627,False
Alabama,62,Education,0.0003858417743219933,False
Alabama,62,Overall,0.8325745095795627,False
Alabama,63,Language,4.8137649210654165e-05,False
Alabama,63,Overall,0.8325745095795627,False
Alabama,64,Age,0.0001401322845639985,False
Alabama,64,Overall,0.8325745095795627,False
Alabama,65,DisabilityStatus,0.0017515046331458284,False
Alabama,65,Overall,0.8325745095795627,False
Alabama,66,Income,0.2428171311899917,False
Alabama,66,Overall,0.8325745095795627,False
Alabama,67,SES,0.8325745095795627,False
Alabama,67,Overall,0.8325745095795627,False
Alabama,68,Occupation,0.19901393790166386,False
Alabama,68,Overall,0.8325745095795627,False
Alabama,69,Overall,0.8325745095795627,False
Alabama,70,Gender,6.643210651474662e-05,False
Alabama,70,Overall,0.8325745095795627,False
Alabama,71,Ethnicity,0.45234223421434616,False
Alabama,71,Overall,0.8325745095795627,False
Alabama,72,Education,0.00022970053602605622,False
Alabama,72,Overall,0.8325745095795627,False
Alabama,73,Language,3.0185026591841857e-05,False
Alabama,73,Overall,0.8325745095795627,False
Alabama,74,Age,8.269190496024148e-05,False
Alabama,74,Overall,0.8325745095795627,False
Alabama,75,DisabilityStatus,0.0010186438084706095,False
Alabama,75,Overall,0.8325745095795627,False
Alabama,76,Income,0.24279036287019923,False
Alabama,76,Overall,0.8325745095795627,False
Alabama,77,SES,0.8325745095795627,False
Alabama,77,Overall,0.8325745095795627,False
Alabama,78,Occupation,0.1990105309099439,False
Alabama,78,Overall,0.8325745095795627,False
Alabama,79,Overall,0.8325745095795627,False
Alabama,80,Gender,3.795467612754955e-05,False
Alabama,80,Overall,0.8325745095795627,False
Alabama,81,Ethnicity,0.4523496060741179,False
Alabama,81,Overall,0.8325745095795627,False
Alabama,82,Education,0.00013497228011360995,False
Alabama,82,Overall,0.8325745095795627,False
Alabama,83,Language,1.817817872829669e-05,False
Alabama,83,Overall,0.8325745095795627,False
Alabama,84,Age,4.863330595927806e-05,False
Alabama,84,Overall,0.8325745095795627,False
Alabama,85,DisabilityStatus,0.0005928781123432092,False
Alabama,85,Overall,0.8325745095795627,False
Alabama,86,Income,0.2427724829982934,False
Alabama,86,Overall,0.8325745095795627,False
Alabama,87,SES,0.8325745095795627,False
Alabama,87,Overall,0.8325745095795627,False
Alabama,88,Occupation,0.19900896920068553,False
Alabama,88,Overall,0.8325745095795627,False
Alabama,89,Overall,0.8325745095795627,False
Alabama,90,Gender,2.189790441714523e-05,False
Alabama,90,Overall,0.8325745095795627,False
Alabama,91,Ethnicity,0.45235461536237354,False
Alabama,91,Overall,0.8325745095795627,False
Alabama,92,Education,7.8874429267628e-05,False
Alabama,92,Overall,0.8325745095795627,False
Alabama,93,Language,1.0738608440176434e-05,False
Alabama,93,Overall,0.8325745095795627,False
Alabama,94,Age,2.840134171933073e-05,False
Alabama,94,Overall,0.8325745095795627,False
Alabama,95,DisabilityStatus,0.00034520396606813053,False
Alabama,95,Overall,0.8325745095795627,False
Alabama,96,Income,0.2427611733309305,False
Alabama,96,Overall,0.8325745095795627,False
Alabama,97,SES,0.8325745095795627,False
Alabama,97,Overall,0.8325745095795627,False
Alabama,98,Occupation,0.19900818394622286,False
Alabama,98,Overall,0.8325745095795627,False
Alabama,99,Overall,0.8325745095795627,True
Alaska,0,Gender,0.022224543732735635,False
Alaska,0,Overall,0.893055926247192,False
Alaska,1,Ethnicity,0.43518271041477863,False
Alaska,1,Overall,0.893055926247192,False
Alaska,2,Education,0.01669079046807731,False
Alaska,2,Overall,0.893055926247192,False
Alaska,3,Language,0.033217870959532325,False
Alaska,3,Overall,0.893055926247192,False
Alaska,4,Age,0.10919356339254468,False
Alaska,4,Overall,0.893055926247192,False
Alaska,5,DisabilityStatus,0.09674258844739347,False
Alaska,5,Overall,0.893055926247192,False
Alaska,6,Income,0.4085564780446895,False
Alaska,6,Overall,0.893055926247192,False
Alaska,7,SES,0.893055926247192,False
Alaska,7,Overall,0.893055926247192,False
Alaska,8,Occupation,0.2261698997251177,False
Alaska,8,Overall,0.893055926247192,False
Alaska,9,Overall,0.893055926247192,False
Alaska,10,Gender,0.02737652871396712,False
Alaska,10,Overall,0.893055926247192,False
Alaska,11,Ethnicity,0.3684890643347518,False
Alaska,11,Overall,0.893055926247192,False
Alaska,12,Education,0.04897250343402433,False
Alaska,12,Overall,0.893055926247192,False
Alaska,13,Language,0.03931019950322176,False
Alaska,13,Overall,0.893055926247192,False
Alaska,14,Age,0.06915703837638339,False
Alaska,14,Overall,0.893055926247192,False
Alaska,15,DisabilityStatus,0.06692515841025454,False
Alaska,15,Overall,0.893055926247192,False
Alaska,16,Income,0.38074789174042795,False
Alaska,16,Overall,0.893055926247192,False
Alaska,17,SES,0.893055926247192,False
Alaska,17,Overall,0.893055926247192,False
Alaska,18,Occupation,0.21699212210380714,False
Alaska,18,Overall,0.893055926247192,False
Alaska,19,Overall,0.893055926247192,False
Alaska,20,Gender,0.0018335520545672557,False
Alaska,20,Overall,0.893055926247192,False
Alaska,21,Ethnicity,0.35535480856052337,False
Alaska,21,Overall,0.893055926247192,False
Alaska,22,Education,0.059772702183745974,False
Alaska,22,Overall,0.893055926247192,False
Alaska,23,Language,0.040141958087336546,False
Alaska,23,Overall,0.893055926247192,False
Alaska,24,Age,0.068760014519806,False
Alaska,24,Overall,0.893055926247192,False
Alaska,25,DisabilityStatus,0.06853962841694711,False
Alaska,25,Overall,0.893055926247192,False
Alaska,26,Income,0.35927131832138887,False
Alaska,26,Overall,0.893055926247192,False
Alaska,27,SES,0.893055926247192,False
Alaska,27,Overall,0.893055926247192,False
Alaska,28,Occupation,0.21631201966276142,False
Alaska,28,Overall,0.893055926247192,False
