question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score,generation_reasoning
iter1_h0_q0,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,P,"Will India recall its ambassador from Canada over Sikh temple disputes before October 1, 2024?","Resolves YES if India's Ministry of External Affairs announces ambassador recall from Canada specifically citing Sikh temple management disputes, as verified by Reuters and India Today by 2024-10-01.",0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.2951376216475646,
iter1_h0_q0,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,Q_given_P,"Given Indian ambassador recall from Canada over Sikh disputes by Oct 1 2024, will Canada restrict Indian student visas by >20% within 3 months?","Resolves YES if Canadian immigration data shows ≥20% reduction in Indian student visa approvals for Nov 2024-Jan 2025 vs same period 2023-24, per Statistics Canada reports by 2025-02-01.",0.26,"[0.25, 0.25, 0.25, 0.3, 0.25]",0.2951376216475646,
iter1_h0_q0,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,P_and_Q,Will India recall ambassador from Canada over Sikh issues AND Canada restrict Indian student visas?,Resolves YES if both individual conditions are met per their respective resolution criteria and timelines.,0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.2951376216475646,
iter1_h0_q1,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,P,Will Poland close its Belarus border crossings for >72 hours in September 2024?,"Resolves YES if Polish Border Guard reports ≥3 major border crossings with Belarus closed continuously for >72hrs during Sep 2024, per official statements documented by AP.",0.32,"[0.3, 0.25, 0.35, 0.35, 0.35]",0.2607642614677513,
iter1_h0_q1,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,Q_given_P,"Given Poland closes Belarus border crossings >72hrs in Sep 2024, will EU activate Article 4 consultations within 2 weeks?",Resolves YES if European Council publicly invokes NATO Article 4 procedures per NATO official communications within 14 days of Polish border closure announcement.,0.45,"[0.45, 0.45, 0.45, 0.45, 0.45]",0.2607642614677513,
iter1_h0_q1,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,P_and_Q,Will Poland close Belarus border AND EU activate Article 4?,Resolves YES per individual condition criteria with temporal alignment of events.,0.27999999999999997,"[0.25, 0.35, 0.3, 0.25, 0.25]",0.2607642614677513,
iter1_h0_q2,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,P,Will South Korea suspend military intel-sharing with Japan before 2025?,"Resolves YES if Blue House announces formal suspension of GSOMIA agreement, verified through Yonhap and Kyodo News reports by 2024-12-31.",0.21000000000000002,"[0.2, 0.2, 0.2, 0.25, 0.2]",0.24032619442667505,
iter1_h0_q2,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,Q_given_P,"Given GSOMIA suspension, will US cancel joint military exercise with SK in 2025 Q1?",Resolves YES if US DoD confirms cancellation of planned Foal Eagle/Key Resolve exercises per Stars and Stripes reports before 2025-03-31.,0.24,"[0.3, 0.2, 0.2, 0.25, 0.25]",0.24032619442667505,
iter1_h0_q2,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,P_and_Q,Will SK-Japan intel pact end AND US cancel exercises?,Resolves YES if both conditions met per above criteria with temporal sequence.,0.14,"[0.15, 0.1, 0.15, 0.15, 0.15]",0.24032619442667505,
iter1_h0_q3,1,"The model overestimates the causal relationship between diplomatic actions and subsequent military/policy responses, neglecting historical instances where escalations were contained despite provocations (e.g., Philippines-China expulsions → military activity example with 0.45 vs 0.35*0.70=0.245 expected P∧Q)",,,P,Will Turkey block NATO accession talks for Sweden before July 2024?,"Resolves YES if Turkish delegation formally vetoes NATO membership talks for Sweden at any NATO Council meeting before 2024-07-01, per NATO official records.",0.32,"[0.4, 0.3, 0.3, 0.3, 0.3]",0.22327636792775507,
