question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,P,Will the number of 5G subscriptions worldwide increase by more than 40% in 2026 compared to 2025?,"This question resolves as YES if the number of 5G subscriptions worldwide increases by more than 40% in 2026 compared to 2025, as reported by reputable sources such as the International Telecommunication Union (ITU) or industry reports.",0.2,"[0.1, 0.15, 0.25, 0.15, 0.35]",0.7706838004381327
iter1_h0_q0,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,Q_given_P,"Given an increase in 5G subscriptions, will the number of IoT devices connected to 5G networks increase by more than 25% in 2027?","This question resolves as YES if, given an increase in 5G subscriptions, the number of IoT devices connected to 5G networks increases by more than 25% in 2027, as reported by credible sources such as market research firms or industry reports.",0.82,"[0.85, 0.85, 0.8, 0.8, 0.8]",0.7706838004381327
iter1_h0_q0,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,P_and_Q,Will the number of 5G subscriptions worldwide increase by more than 40% in 2026 compared to 2025 and the number of IoT devices connected to 5G networks increase by more than 25% in 2027?,"This question resolves as YES if both conditions are met: the number of 5G subscriptions worldwide increases by more than 40% in 2026 compared to 2025, as reported by reputable sources, and the number of IoT devices connected to 5G networks increases by more than 25% in 2027, as reported by credible sources.",0.62,"[0.85, 0.75, 0.4, 0.75, 0.35]",0.7706838004381327
iter1_h0_q1,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,P,Will the number of 5G base stations worldwide increase by more than 30% in 2027 compared to 2026?,"This question resolves as YES if the number of 5G base stations worldwide increases by more than 30% in 2027 compared to 2026, as reported by reputable sources such as the International Telecommunication Union (ITU) or industry reports.",0.2,"[0.2, 0.2, 0.2, 0.25, 0.15]",0.4183346245647695
iter1_h0_q1,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,Q_given_P,"Given an increase in 5G base stations, will the number of IoT devices connected to 5G networks increase by more than 20% in 2028?","This question resolves as YES if, given an increase in 5G base stations, the number of IoT devices connected to 5G networks increases by more than 20% in 2028, as reported by credible sources such as market research firms or industry reports.",0.8400000000000001,"[0.85, 0.8, 0.85, 0.85, 0.85]",0.4183346245647695
iter1_h0_q1,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,P_and_Q,Will the number of 5G base stations worldwide increase by more than 30% in 2027 compared to 2026 and the number of IoT devices connected to 5G networks increase by more than 20% in 2028?,"This question resolves as YES if both conditions are met: the number of 5G base stations worldwide increases by more than 30% in 2027 compared to 2026, as reported by reputable sources, and the number of IoT devices connected to 5G networks increases by more than 20% in 2028, as reported by credible sources.",0.42000000000000004,"[0.25, 0.75, 0.35, 0.25, 0.5]",0.4183346245647695
iter1_h0_q2,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,P,Will the number of 5G subscriptions in the United States increase by more than 50% in 2028 compared to 2027?,"This question resolves as YES if the number of 5G subscriptions in the United States increases by more than 50% in 2028 compared to 2027, as reported by reputable sources such as the Federal Communications Commission (FCC) or industry reports.",0.09,"[0.05, 0.1, 0.1, 0.15, 0.05]",0.5761515811440671
iter1_h0_q2,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,Q_given_P,"Given an increase in 5G subscriptions in the United States, will the number of IoT devices connected to 5G networks in the United States increase by more than 30% in 2029?","This question resolves as YES if, given an increase in 5G subscriptions in the United States, the number of IoT devices connected to 5G networks in the United States increases by more than 30% in 2029, as reported by credible sources such as market research firms or industry reports.",0.8400000000000001,"[0.8, 0.85, 0.85, 0.85, 0.85]",0.5761515811440671
iter1_h0_q2,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,P_and_Q,Will the number of 5G subscriptions in the United States increase by more than 50% in 2028 compared to 2027 and the number of IoT devices connected to 5G networks in the United States increase by more than 30% in 2029?,"This question resolves as YES if both conditions are met: the number of 5G subscriptions in the United States increases by more than 50% in 2028 compared to 2027, as reported by reputable sources, and the number of IoT devices connected to 5G networks in the United States increases by more than 30% in 2029, as reported by credible sources.",0.38999999999999996,"[0.75, 0.1, 0.1, 0.15, 0.85]",0.5761515811440671
iter1_h1_q0,1,"The model overestimates the correlation between the adoption of electric vehicles and the development of autonomous driving technology, particularly in the context of smart cities and ride-hailing services",Energy and Environment,Overestimation of correlation,P,Will Tesla's market share in the electric vehicle market increase by more than 12% in 2031?,"This question resolves as YES if Tesla's market share in the electric vehicle market increases by more than 12% in 2031, as reported by Tesla's official sales reports or reputable industry sources.",0.55,"[0.65, 0.7, 0.4, 0.45, 0.55]",0.2368923308510178
