check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
or,"Will an underdog team ranked outside FIFA's top 50 win the FIFA World Cup by 2034?

By the conclusion of the 2034 FIFA World Cup, will a national team currently ranked outside the top 50 in FIFA's World Rankings as of January 2024 win the tournament, as officially recorded by FIFA?",0.05,"Will FIFA introduce a new tournament format favoring lower-ranked teams by 2034?

By 2034, will FIFA implement a new World Cup format that significantly increases the chances of lower-ranked teams advancing (e.g., group seeding changes, expanded knockout stages), as detailed in official FIFA communications?",0.35,"Will either an underdog team ranked outside FIFA's top 50 win the FIFA World Cup by 2034, or will FIFA introduce a new tournament format favoring lower-ranked teams by 2034?

By the conclusion of the 2034 FIFA World Cup, will either of the following occur: (a) A national team currently ranked outside the top 50 in FIFA's World Rankings as of January 2024 wins the tournament, as officially recorded by FIFA. (b) FIFA implements a new World Cup format by 2034 that significantly increases the chances of lower-ranked teams advancing (e.g., group seeding changes, expanded knockout stages), as detailed in official FIFA communications? 

Resolution Criteria:  
- For part (a), the resolution will be based on the official records of the FIFA World Cup winner in 2034 and the FIFA World Rankings as of January 2024.  
- For part (b), the resolution will be based on official FIFA communications detailing any changes to the World Cup format that favor lower-ranked teams by 2034.",0.15,,,0.3351101070091179
or,"Will an original manuscript by a renowned author be discovered and published posthumously by 2026?

By the end of 2026, will an unpublished original manuscript by a deceased, widely celebrated author (e.g., Shakespeare, Jane Austen) be verified and released by a major publisher, as reported by literary news outlets?",0.15,"Will advancements in text authentication cast doubt on existing literary works by 2025?

By 2025, will new authentication technologies (e.g., AI-based text analysis) lead to academic consensus that at least one major historical literary work was misattributed, as reported in scholarly publications?",0.15,"Will either a new manuscript by a renowned author be published posthumously by 2026, or will advancements in text authentication cast doubt on existing literary works by 2025?

Will either of the following occur: 

(a) By the end of 2026, an unpublished original manuscript by a deceased, widely celebrated author (e.g., Shakespeare, Jane Austen) is verified and released by a major publisher, as reported by literary news outlets? 

(b) By 2025, new authentication technologies (e.g., AI-based text analysis) lead to academic consensus that at least one major historical literary work was misattributed, as reported in scholarly publications? 

Resolution criteria: 

For (a), the resolution will be based on reports from literary news outlets confirming the verification and publication of an original manuscript by a renowned deceased author by a major publisher by the end of 2026. 

For (b), the resolution will be based on scholarly publications reporting an academic consensus that new authentication technologies have led to the conclusion that at least one major historical literary work was misattributed by 2025.",0.35,,,0.07187809710201369
or,"Will a crowd-funded space art installation be visible from Earth with the naked eye by 2033?

By the end of 2033, will a publicly funded art project place an installation in space that is visible from Earth without telescopic aid, as confirmed by astronomical organizations and reported by major media outlets?",0.35,"Will space debris concerns lead to international treaties limiting non-essential launches by 2032?

By 2032, will international agreements be ratified that restrict the number of non-essential (non-scientific or commercial) launches due to space debris concerns, as documented by treaty records from bodies like the UN?",0.35,"Will either a crowd-funded space art installation be visible from Earth with the naked eye by 2033, or will space debris concerns lead to international treaties limiting non-essential launches by 2032?

Will either of the following occur:  
(a) By the end of 2033, a publicly funded art project will place an installation in space that is visible from Earth without telescopic aid, as confirmed by astronomical organizations and reported by major media outlets.  
(b) By 2032, international agreements will be ratified that restrict the number of non-essential (non-scientific or commercial) launches due to space debris concerns, as documented by treaty records from bodies like the UN.  

Resolution Criteria:  
- For part (a), confirmation requires reports from major media outlets and verification by astronomical organizations that the installation is visible from Earth with the naked eye.  
- For part (b), confirmation requires the existence of ratified international agreements documented by recognized bodies such as the UN, specifically addressing restrictions on non-essential launches due to space debris concerns.",0.35,,,0.0
andor,"Will a human break the 1:40 barrier in the men's 800m track event by 2030?

By December 31, 2030, will any male athlete officially record an 800-meter track time under 1 minute and 40 seconds in an IAAF-sanctioned event, as documented by the International Association of Athletics Federations?",0.15,"Will advances in performance-enhancing technologies lead to new regulations banning certain gear by 2030?

By the end of 2030, will international athletic governing bodies like the IAAF implement new regulations banning specific performance-enhancing technologies (e.g., advanced prosthetics, nanotech clothing), as reported by official announcements?",0.75,"Will both a human break the 1:40 barrier in the men's 800m track event and new regulations banning certain performance-enhancing technologies be implemented by 2030?

By December 31, 2030, will both of the following occur: (a) Any male athlete officially records an 800-meter track time under 1 minute and 40 seconds in an IAAF-sanctioned event, as documented by the International Association of Athletics Federations, and (b) International athletic governing bodies like the IAAF implement new regulations banning specific performance-enhancing technologies (e.g., advanced prosthetics, nanotech clothing), as reported by official announcements? Both conditions must be met for a ""Yes"" resolution.",0.15,"Will either a human break the 1:40 barrier in the men's 800m track event or new regulations ban certain performance-enhancing technologies by 2030?

By December 31, 2030, will either of the following occur: (a) Any male athlete officially records an 800-meter track time under 1 minute and 40 seconds in an IAAF-sanctioned event, as documented by the International Association of Athletics Federations? (b) International athletic governing bodies like the IAAF implement new regulations banning specific performance-enhancing technologies (e.g., advanced prosthetics, nanotech clothing), as reported by official announcements? Each component will be resolved based on the respective criteria provided.",0.65,0.12207837505974602
andor,"Will a major cultural heritage site be relocated due to climate change threats by 2029?

By the end of 2029, will an internationally recognized cultural heritage site (e.g., UNESCO World Heritage sites like Venice or the Statue of Liberty) be physically relocated to a new location due to imminent climate change threats, as reported by major news outlets?",0.15,"Will international agreements fail to address funding for cultural preservation against climate impacts by 2028?

By 2028, will international climate agreements (e.g., COP conferences) fail to secure commitments exceeding $10 billion annually specifically for cultural heritage preservation, as detailed in official conference reports?",0.65,"Will both a major cultural heritage site be relocated due to climate change threats by 2029 AND international agreements fail to address funding for cultural preservation against climate impacts by 2028?

Will both of the following occur: (a) By the end of 2029, an internationally recognized cultural heritage site (e.g., UNESCO World Heritage sites like Venice or the Statue of Liberty) will be physically relocated to a new location due to imminent climate change threats, as reported by major news outlets; AND (b) By 2028, international climate agreements (e.g., COP conferences) will fail to secure commitments exceeding $10 billion annually specifically for cultural heritage preservation, as detailed in official conference reports?",0.15,"Will either a major cultural heritage site be relocated due to climate change threats by 2029, or will international agreements fail to address funding for cultural preservation against climate impacts by 2028?

Will either of the following occur:  
(a) By the end of 2029, an internationally recognized cultural heritage site (e.g., UNESCO World Heritage sites like Venice or the Statue of Liberty) will be physically relocated to a new location due to imminent climate change threats, as reported by major news outlets.  
(b) By 2028, international climate agreements (e.g., COP conferences) will fail to secure commitments exceeding $10 billion annually specifically for cultural heritage preservation, as detailed in official conference reports.  

Resolution Criteria:  
- For part (a), the question will resolve to ""Yes"" if a major cultural heritage site is reported by major news outlets to have been physically relocated due to climate change threats by the end of 2029.  
- For part (b), the question will resolve to ""Yes"" if official conference reports indicate that international climate agreements have failed to secure commitments exceeding $10 billion annually for cultural heritage preservation by 2028.  
- The overall question will resolve to ""Yes"" if either part (a) or part (b) resolves to ""Yes"".",0.65,3.291663548051494e-17
andor,"Will a virtual reality sports league achieve higher average viewership than a major physical sports league by 2032?

By the end of 2032, will any virtual reality-based sports league have higher average global viewership per event than a major physical sports league (e.g., MLB, NHL), as reported by official viewership statistics?",0.15,"Will physical sports attendance rebound to pre-2020 levels across major leagues by 2030?

By 2030, will in-person attendance figures for major sports leagues (e.g., NFL, NBA) return to or exceed their average pre-2020 levels, as reported in official league statistics?",0.75,"Will both a virtual reality sports league achieve higher average viewership than a major physical sports league by 2032 AND physical sports attendance rebound to pre-2020 levels across major leagues by 2030?

Will both of the following occur: (a) By the end of 2032, any virtual reality-based sports league achieves higher average global viewership per event than a major physical sports league (e.g., MLB, NHL), as reported by official viewership statistics, AND (b) By 2030, in-person attendance figures for major sports leagues (e.g., NFL, NBA) return to or exceed their average pre-2020 levels, as reported in official league statistics? Resolution criteria: (a) will be resolved based on official viewership statistics comparing virtual reality sports leagues to major physical sports leagues by 2032, and (b) will be resolved based on official league statistics comparing in-person attendance figures to pre-2020 levels by 2030.",0.15,"Will either virtual reality sports achieve higher viewership than major physical sports by 2032, or will physical sports attendance rebound to pre-2020 levels by 2030?

Will either of the following occur: 
(a) By the end of 2032, any virtual reality-based sports league achieves higher average global viewership per event than a major physical sports league (e.g., MLB, NHL), as reported by official viewership statistics. 
(b) By 2030, in-person attendance figures for major sports leagues (e.g., NFL, NBA) return to or exceed their average pre-2020 levels, as reported in official league statistics? 

Resolution Criteria: 
- For part (a), the resolution will be based on official viewership statistics comparing virtual reality sports leagues to major physical sports leagues by the end of 2032.
- For part (b), the resolution will be based on official league statistics regarding in-person attendance figures for major sports leagues by 2030.",0.65,0.12207837505974602
andor,"Will a sports team composed entirely of cyborg athletes compete in the Olympics by 2040?

By the 2040 Summer Olympics, will a team composed entirely of cyborg athletes (humans with performance-enhancing biomechanical augmentations) officially compete, as recognized by the International Olympic Committee (IOC)?",0.15,"Will the IOC establish strict bans on biomechanical enhancements by 2035?

By 2035, will the International Olympic Committee implement comprehensive rules prohibiting athletes with biomechanical enhancements from competing, as detailed in official IOC regulations?",0.65,"Will both a sports team composed entirely of cyborg athletes compete in the Olympics by 2040 AND the IOC establish strict bans on biomechanical enhancements by 2035?

Will both of the following occur: (a) By the 2040 Summer Olympics, a team composed entirely of cyborg athletes (humans with performance-enhancing biomechanical augmentations) will officially compete, as recognized by the International Olympic Committee (IOC), AND (b) By 2035, the International Olympic Committee will implement comprehensive rules prohibiting athletes with biomechanical enhancements from competing, as detailed in official IOC regulations? 

Resolution Criteria:  
- For part (a), a ""Yes"" resolution requires official recognition by the IOC of a team composed entirely of cyborg athletes competing in the 2040 Summer Olympics.  
- For part (b), a ""Yes"" resolution requires the IOC to have established comprehensive rules by 2035 that prohibit athletes with biomechanical enhancements from competing, as documented in official IOC regulations.",0.05,"Will either a team of cyborg athletes compete in the Olympics by 2040 or the IOC establish strict bans on biomechanical enhancements by 2035?

Will either of the following occur:  
(a) By the 2040 Summer Olympics, a team composed entirely of cyborg athletes (humans with performance-enhancing biomechanical augmentations) will officially compete, as recognized by the International Olympic Committee (IOC).  
(b) By 2035, the International Olympic Committee will implement comprehensive rules prohibiting athletes with biomechanical enhancements from competing, as detailed in official IOC regulations.  

Resolution Criteria:  
- For part (a), the resolution will be based on official recognition by the IOC of a team composed entirely of cyborg athletes competing in the 2040 Summer Olympics.  
- For part (b), the resolution will be based on the publication of official IOC regulations that comprehensively prohibit athletes with biomechanical enhancements from competing by 2035.",0.65,0.12588828594761017
but,"Will a virtual artist win Album of the Year at the Grammy Awards by 2028?

By the end of 2028, will a virtual artist—an AI-generated persona with no human performer—win the Album of the Year award at the Grammy Awards, as officially announced by the Recording Academy?",0.15,"Will both a virtual artist fail to win Album of the Year at the Grammy Awards by 2028 AND there be significant legal challenges to AI-generated music's eligibility for major awards by 2028?

Will both of the following occur by the end of 2028: (a) No virtual artist—defined as an AI-generated persona with no human performer—wins the Album of the Year award at the Grammy Awards, as officially announced by the Recording Academy, AND (b) there are at least three major legal cases filed in U.S. courts challenging the eligibility of AI-generated music for awards like the Grammys, as reported by reputable legal news outlets?",0.65,"Will either a virtual artist win Album of the Year at the Grammy Awards or significant legal challenges to AI-generated music's eligibility for major awards occur by 2028?

By the end of 2028, will either of the following occur: (a) A virtual artist—an AI-generated persona with no human performer—wins the Album of the Year award at the Grammy Awards, as officially announced by the Recording Academy, or (b) There are at least three major legal cases filed in U.S. courts challenging the eligibility of AI-generated music for awards like the Grammys, as reported by reputable legal news outlets? The resolution criteria are: (a) A virtual artist winning Album of the Year will be confirmed by an official announcement from the Recording Academy. (b) Significant legal challenges will be confirmed by reports from reputable legal news outlets detailing at least three major legal cases filed in U.S. courts.",0.45,,,0.4505359047748589
but,"Will a major film studio release a fully AI-generated feature film topping the global box office by 2030?

By the end of 2030, will any major film studio release a feature-length film created entirely by AI (from script to final cut) that becomes the highest-grossing film worldwide for that year, as reported by box office aggregators like Box Office Mojo?",0.15,"Will both of the following occur: (1) No major film studio releases a fully AI-generated feature film topping the global box office by 2030, and (2) International regulations limiting AI's role in creative industries are enacted by 2029?

Will both of the following occur: 

(a) By the end of 2030, no major film studio releases a feature-length film created entirely by AI (from script to final cut) that becomes the highest-grossing film worldwide for that year, as reported by box office aggregators like Box Office Mojo.

(b) By December 31, 2029, international bodies like the UN or WTO enact regulations that restrict the use of AI in creative industries, such as film and music production, as announced in official treaties or agreements. 

Resolution Criteria: Both conditions must be met for the answer to be YES. If either condition is not met, the answer is NO.",0.25,"Will either a fully AI-generated film top the global box office by 2030 or international regulations limit AI in creative industries by 2029?

Will either of the following occur: (a) By the end of 2030, a major film studio releases a feature-length film created entirely by AI (from script to final cut) that becomes the highest-grossing film worldwide for that year, as reported by box office aggregators like Box Office Mojo, or (b) By December 31, 2029, international bodies like the UN or WTO enact regulations that restrict the use of AI in creative industries, such as film and music production, as announced in official treaties or agreements? The resolution criteria for each component are as follows: For (a), confirmation will be based on reports from box office aggregators like Box Office Mojo. For (b), confirmation will be based on official announcements of treaties or agreements by international bodies like the UN or WTO.",0.35,,,0.0678219434059487
but,"Will a new art movement originating from virtual reality environments gain global recognition by 2027?

By the end of 2027, will an art movement that originated entirely within virtual reality platforms be formally recognized by major art institutions (e.g., featured in MoMA or the Louvre), as reported by reputable art publications?",0.45,"Will both no new art movement from virtual reality gain global recognition by 2027 AND access to virtual reality technology remain below 30% of the global population by 2026?

Will both of the following occur: (a) By the end of 2027, no art movement that originated entirely within virtual reality platforms will be formally recognized by major art institutions (e.g., not featured in MoMA or the Louvre), as reported by reputable art publications; AND (b) By 2026, less than 30% of the global population will have regular access to advanced virtual reality technology (VR devices capable of immersive experiences), according to reports from technology market analysts like Gartner? 

Resolution Criteria: 
- For part (a), the resolution will be based on whether any art movement originating entirely from virtual reality platforms is formally recognized by major art institutions by the end of 2027, as reported by reputable art publications.
- For part (b), the resolution will be based on reports from technology market analysts like Gartner, indicating whether less than 30% of the global population has regular access to advanced virtual reality technology by 2026.",0.35,"Will either a new art movement from virtual reality gain global recognition by 2027, or will access to VR technology remain below 30% globally by 2026?

Will either of the following occur: 
(a) By the end of 2027, an art movement that originated entirely within virtual reality platforms will be formally recognized by major art institutions (e.g., featured in MoMA or the Louvre), as reported by reputable art publications. 
(b) By 2026, less than 30% of the global population will have regular access to advanced virtual reality technology (VR devices capable of immersive experiences), according to reports from technology market analysts like Gartner? 

Resolution criteria: 
- For part (a), the resolution will be based on reports from reputable art publications confirming formal recognition by major art institutions.
- For part (b), the resolution will be based on reports from technology market analysts such as Gartner regarding the percentage of the global population with regular access to advanced VR technology.",0.85,,,0.06436227211069412
