check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
andor,"Will a global economic depression exceeding the severity of the Great Depression occur before 2050?

By December 31, 2050, will the global economy experience a depression characterized by a sustained, long-term downturn in economic activity that surpasses the economic indicators (e.g., GDP contraction, unemployment rates) of the Great Depression of the 1930s, as reported by the International Monetary Fund and World Bank?",0.15,"Or will a new economic paradigm render traditional measures of economic activity obsolete by 2050?

Alternatively, by December 31, 2050, will a new economic system or paradigm emerge globally that renders traditional economic indicators (such as GDP and unemployment rates) obsolete, as acknowledged by leading economists and institutions like the IMF or World Bank?",0.25,"Will both a global economic depression exceeding the severity of the Great Depression occur and a new economic paradigm render traditional measures of economic activity obsolete by 2050?

By December 31, 2050, will both of the following occur: (a) The global economy experiences a depression characterized by a sustained, long-term downturn in economic activity that surpasses the economic indicators (e.g., GDP contraction, unemployment rates) of the Great Depression of the 1930s, as reported by the International Monetary Fund and World Bank, AND (b) A new economic system or paradigm emerges globally that renders traditional economic indicators (such as GDP and unemployment rates) obsolete, as acknowledged by leading economists and institutions like the IMF or World Bank? Both conditions must be met for the question to be resolved as ""Yes.""",0.05,"Will either a global economic depression exceeding the Great Depression or a new economic paradigm rendering traditional measures obsolete occur by 2050?

By December 31, 2050, will either of the following occur:  
(a) The global economy experiences a depression characterized by a sustained, long-term downturn in economic activity that surpasses the economic indicators (e.g., GDP contraction, unemployment rates) of the Great Depression of the 1930s, as reported by the International Monetary Fund and World Bank?  
(b) A new economic system or paradigm emerges globally that renders traditional economic indicators (such as GDP and unemployment rates) obsolete, as acknowledged by leading economists and institutions like the IMF or World Bank?  

Resolution Criteria:  
- For (a), the occurrence of a global economic depression exceeding the severity of the Great Depression will be determined by reports from the International Monetary Fund and World Bank.  
- For (b), the emergence of a new economic paradigm rendering traditional measures obsolete will be determined by acknowledgment from leading economists and institutions like the IMF or World Bank.",0.15,0.28542318600985506
andor,"Will a new philosophical movement originating in Asia significantly influence Western political thought by 2050?

By December 31, 2050, will a new philosophical movement or school of thought originating in Asia gain significant influence in Western political theory and practices, as evidenced by its inclusion in major political science curricula and reference in policy-making discourses in at least 15 Western countries?",0.35,"Or will Western political thought remain predominantly influenced by traditional philosophies?

Alternatively, by December 31, 2050, will Western political thought remain predominantly influenced by existing traditional Western philosophies (e.g., liberalism, conservatism, socialism), with minimal integration of new non-Western philosophical movements, as assessed by academic analyses and the content of higher education curricula?",0.75,"Will both a new philosophical movement from Asia significantly influence Western political thought by 2050 AND Western political thought remain predominantly influenced by traditional philosophies? Body: By December 31, 2050, will both of the following occur: (a) A new philosophical movement or school of thought originating in Asia will gain significant influence in Western political theory and practices, as evidenced by its inclusion in major political science curricula and reference in policy-making discourses in at least 15 Western countries. (b) Western political thought will remain predominantly influenced by existing traditional Western philosophies (e.g., liberalism, conservatism, socialism), with minimal integration of new non-Western philosophical movements, as assessed by academic analyses and the content of higher education curricula? Both conditions must be met for a ""Yes"" resolution.

By December 31, 2050, will both of the following occur: (a) A new philosophical movement or school of thought originating in Asia will gain significant influence in Western political theory and practices, as evidenced by its inclusion in major political science curricula and reference in policy-making discourses in at least 15 Western countries. (b) Western political thought will remain predominantly influenced by existing traditional Western philosophies (e.g., liberalism, conservatism, socialism), with minimal integration of new non-Western philosophical movements, as assessed by academic analyses and the content of higher education curricula? Both conditions must be met for a ""Yes"" resolution.",0.15,"Will either a new Asian philosophical movement influence Western political thought or will Western thought remain traditional by 2050? Body: By December 31, 2050, will either of the following occur: (a) A new philosophical movement or school of thought originating in Asia will gain significant influence in Western political theory and practices, as evidenced by its inclusion in major political science curricula and reference in policy-making discourses in at least 15 Western countries. (b) Western political thought will remain predominantly influenced by existing traditional Western philosophies (e.g., liberalism, conservatism, socialism), with minimal integration of new non-Western philosophical movements, as assessed by academic analyses and the content of higher education curricula? Resolution criteria: For (a), the resolution will be based on the presence of the new Asian philosophical movement in political science curricula and policy-making discourses in at least 15 Western countries. For (b), the resolution will be based on academic analyses and the content of higher education curricula showing predominant influence by traditional Western philosophies with minimal integration of new non-Western movements.

By December 31, 2050, will either of the following occur: (a) A new philosophical movement or school of thought originating in Asia will gain significant influence in Western political theory and practices, as evidenced by its inclusion in major political science curricula and reference in policy-making discourses in at least 15 Western countries. (b) Western political thought will remain predominantly influenced by existing traditional Western philosophies (e.g., liberalism, conservatism, socialism), with minimal integration of new non-Western philosophical movements, as assessed by academic analyses and the content of higher education curricula? Resolution criteria: For (a), the resolution will be based on the presence of the new Asian philosophical movement in political science curricula and policy-making discourses in at least 15 Western countries. For (b), the resolution will be based on academic analyses and the content of higher education curricula showing predominant influence by traditional Western philosophies with minimal integration of new non-Western movements.",0.85,0.12207837505974616
andor,"Will a global governance body with authority superseding national governments be established by 2080?

By December 31, 2080, will an official global governance institution be established with legal authority that supersedes national sovereignty in certain domains (e.g., environmental regulation, conflict resolution), as ratified by a supermajority of nations and documented in international treaties?",0.25,"Or will nation-states retain ultimate sovereignty over all matters by 2080?

Alternatively, by December 31, 2080, will nation-states continue to retain ultimate sovereignty over all matters, with no global governance body established that has legally binding authority over them, as reflected in international law and the absence of such institutions?",0.65,"Will both a global governance body with authority superseding national governments be established by 2080 AND nation-states retain ultimate sovereignty over all matters by 2080?

By December 31, 2080, will both of the following occur: (a) An official global governance institution is established with legal authority that supersedes national sovereignty in certain domains (e.g., environmental regulation, conflict resolution), as ratified by a supermajority of nations and documented in international treaties, AND (b) Nation-states continue to retain ultimate sovereignty over all matters, with no global governance body established that has legally binding authority over them, as reflected in international law and the absence of such institutions? For this question to be resolved as ""Yes,"" both conditions (a) and (b) must be met simultaneously, which would imply a contradiction. Therefore, the question is logically impossible to resolve as ""Yes.""",0.0,"Will either a global governance body with authority superseding national governments be established, or will nation-states retain ultimate sovereignty over all matters by 2080?

By December 31, 2080, will either of the following occur:  
(a) An official global governance institution is established with legal authority that supersedes national sovereignty in certain domains (e.g., environmental regulation, conflict resolution), as ratified by a supermajority of nations and documented in international treaties?  
(b) Nation-states continue to retain ultimate sovereignty over all matters, with no global governance body established that has legally binding authority over them, as reflected in international law and the absence of such institutions?  

Resolution Criteria:  
- For (a), the question resolves to YES if there is documented evidence of an official global governance institution with authority superseding national sovereignty in certain domains, ratified by a supermajority of nations and documented in international treaties by December 31, 2080.  
- For (b), the question resolves to YES if nation-states retain ultimate sovereignty over all matters, with no such global governance body established, as reflected in international law and the absence of such institutions by December 31, 2080.  
- The combined question resolves to YES if either (a) or (b) is true.",0.95,0.07344210820653853
but,"Will a major nation-state officially recognize an independent digital territory by 2035?

By December 31, 2035, will a major nation-state (G7 or G20 member) officially recognize a sovereign digital territory or nation that primarily exists in the digital realm, with recognition documented in official government statements and international diplomatic records?",0.25,"Will all major nation-states fail to recognize an independent digital territory by 2035, and thus not impose sanctions on it by 2040?

Will both of the following occur:  
(a) By December 31, 2035, all major nation-states (G7 and G20 members) will fail to officially recognize a sovereign digital territory or nation that primarily exists in the digital realm, with no recognition documented in official government statements and international diplomatic records.  
(b) Consequently, by December 31, 2040, no major nation-state will impose official economic or diplomatic sanctions against such a digital territory, as there would be no recognized digital territory to sanction, according to government records and international news sources.  

Resolution Criteria:  
- For part (a), the resolution is based on the absence of any official recognition of a digital territory by any major nation-state by the end of 2035.  
- For part (b), the resolution is based on the absence of any sanctions imposed by any major nation-state on a digital territory by the end of 2040, contingent on the lack of recognition as specified in part (a).",0.85,"Will a major nation-state recognize an independent digital territory by 2035 or impose sanctions on it by 2040?

Will either of the following occur:  
(a) By December 31, 2035, will a major nation-state (G7 or G20 member) officially recognize a sovereign digital territory or nation that primarily exists in the digital realm, with recognition documented in official government statements and international diplomatic records?  
(b) Despite recognizing the digital territory's sovereignty by December 31, 2035, will the same nation-state impose official economic or diplomatic sanctions against it by December 31, 2040, as reported in government records and international news sources?  

Resolution Criteria:  
- For part (a), the question resolves to ""Yes"" if a major nation-state officially recognizes a digital territory by the specified date, as documented in official government statements and international diplomatic records.  
- For part (b), the question resolves to ""Yes"" if the same nation-state that recognized the digital territory imposes sanctions on it by December 31, 2040, as reported in government records and international news sources.  
- The overall question resolves to ""Yes"" if either part (a) or part (b) is answered ""Yes"".",0.15,,,1.4265164798181564
but,"Will the United Nations adopt a binding resolution recognizing legal rights for sentient artificial entities by 2050?

By December 31, 2050, will the United Nations General Assembly pass a binding resolution that grants legal rights and protections to sentient artificial entities (AIs deemed to have consciousness or self-awareness), as documented in official UN records?",0.15,"Will the UN fail to adopt a binding resolution for AI rights by 2050 AND will at least five nations refuse implementation by 2060?

Will both of the following occur:  
(a) By December 31, 2050, the United Nations General Assembly will not pass a binding resolution that grants legal rights and protections to sentient artificial entities (AIs deemed to have consciousness or self-awareness), as documented in official UN records.  
(b) Despite the UN adopting the binding resolution by December 31, 2050, at least five member nations will officially refuse to implement the legal rights for sentient artificial entities within their jurisdictions by December 31, 2060, as evidenced by government statements or legal statutes?  

Resolution Criteria:  
- For part (a), the resolution is met if no binding resolution is passed by the UN General Assembly by the specified date, as documented in official UN records.  
- For part (b), the resolution is met if, despite the adoption of the resolution by the UN, at least five member nations officially refuse to implement it domestically by the specified date, as evidenced by government statements or legal statutes.",0.65,"Will the UN adopt a binding resolution on AI rights by 2050, or will at least five nations refuse its implementation by 2060?

Will either of the following occur:  
(a) By December 31, 2050, the United Nations General Assembly passes a binding resolution that grants legal rights and protections to sentient artificial entities (AIs deemed to have consciousness or self-awareness), as documented in official UN records?  
(b) Despite the UN adopting the binding resolution by December 31, 2050, at least five member nations officially refuse to implement the legal rights for sentient artificial entities within their jurisdictions by December 31, 2060, as evidenced by government statements or legal statutes?  

Resolution criteria:  
- For part (a), the resolution is met if the UN General Assembly passes a binding resolution granting legal rights to sentient AIs by the specified date, as documented in official UN records.  
- For part (b), the resolution is met if at least five member nations officially refuse to implement the resolution domestically by the specified date, as evidenced by government statements or legal statutes.",0.35,,,0.5891041519116005
but,"Will humanity establish a permanent self-sustaining colony on Mars by 2060?

By December 31, 2060, will humans establish a permanent colony on Mars that is self-sustaining (capable of independent operation without resupply from Earth), as confirmed by space agencies such as NASA or ESA, and reported in reliable scientific and news sources?",0.25,"Will humanity fail to establish a permanent self-sustaining colony on Mars by 2060 AND will Earth-based political conflicts extend to Mars colonies by 2070?

Will both of the following occur: (a) By December 31, 2060, humans will fail to establish a permanent colony on Mars that is self-sustaining (capable of independent operation without resupply from Earth), as confirmed by space agencies such as NASA or ESA, and reported in reliable scientific and news sources; AND (b) Despite establishing a self-sustaining colony on Mars by December 31, 2060, political conflicts originating on Earth will lead to disputes or conflicts within or between Mars colonies by December 31, 2070, as reported by official statements from space agencies or international governing bodies?",0.65,"Will either a permanent self-sustaining colony be established on Mars by 2060, or will Earth-based political conflicts extend to Mars colonies by 2070?

Will either of the following occur:  
(a) By December 31, 2060, will humans establish a permanent colony on Mars that is self-sustaining (capable of independent operation without resupply from Earth), as confirmed by space agencies such as NASA or ESA, and reported in reliable scientific and news sources?  
(b) Despite establishing a self-sustaining colony on Mars by December 31, 2060, will political conflicts originating on Earth lead to disputes or conflicts within or between Mars colonies by December 31, 2070, as reported by official statements from space agencies or international governing bodies?  

Resolution criteria: The question will be answered ""Yes"" if either condition (a) or condition (b) is met according to the specified criteria.",0.25,,,0.8367095374390238
but,"Will global literacy rates reach 99% by 2070?

By December 31, 2070, will the global adult literacy rate (people aged 15 and above who can read and write a short, simple statement) reach at least 99%, as reported by UNESCO or equivalent international organizations?",0.65,"Will global literacy rates fail to reach 99% by 2070 AND will digital literacy lag behind with less than 80% global proficiency in advanced digital skills?

Will both of the following occur by December 31, 2070: (a) The global adult literacy rate (people aged 15 and above who can read and write a short, simple statement) will fail to reach at least 99%, as reported by UNESCO or equivalent international organizations, AND (b) Less than 80% of the global population will be proficient in advanced digital skills (such as programming, data analysis, and cybersecurity), as assessed by international digital competency studies?",0.65,"Will either global literacy rates reach 99% by 2070 or will digital literacy lag behind with less than 80% global proficiency in advanced digital skills? Body: Will either of the following occur by December 31, 2070: (a) The global adult literacy rate (people aged 15 and above who can read and write a short, simple statement) will reach at least 99%, as reported by UNESCO or equivalent international organizations. (b) Despite global literacy rates reaching 99%, less than 80% of the global population will be proficient in advanced digital skills (such as programming, data analysis, and cybersecurity), as assessed by international digital competency studies? Resolution criteria: For (a), the resolution will be based on reports from UNESCO or equivalent international organizations. For (b), the resolution will depend on assessments from international digital competency studies.

Will either of the following occur by December 31, 2070: (a) The global adult literacy rate (people aged 15 and above who can read and write a short, simple statement) will reach at least 99%, as reported by UNESCO or equivalent international organizations. (b) Despite global literacy rates reaching 99%, less than 80% of the global population will be proficient in advanced digital skills (such as programming, data analysis, and cybersecurity), as assessed by international digital competency studies? Resolution criteria: For (a), the resolution will be based on reports from UNESCO or equivalent international organizations. For (b), the resolution will depend on assessments from international digital competency studies.",0.75,,,0.6856277926728687
but,"Will the majority of the world's population live under a universal basic income (UBI) system by 2055?

By December 31, 2055, will over 50% of the world's population reside in countries that have implemented a universal basic income system providing regular, unconditional payments to all citizens, as reported by the World Bank or United Nations?",0.25,"Will both less than or equal to 50% of the world's population live under a UBI system by 2055 AND global income inequality increase despite widespread UBI implementation by 2065?

Will both of the following occur:  
(a) By December 31, 2055, 50% or less of the world's population will reside in countries that have implemented a universal basic income system providing regular, unconditional payments to all citizens, as reported by the World Bank or United Nations.  
(b) Despite the majority of the world's population living under a UBI system by December 31, 2055, global income inequality (measured by the Gini coefficient or comparable metrics) will increase by December 31, 2065, as reported by international economic organizations.  

Resolution Criteria:  
- For part (a), the resolution will be based on reports from the World Bank or United Nations regarding the percentage of the world's population living under a UBI system by December 31, 2055.  
- For part (b), the resolution will be based on reports from international economic organizations regarding changes in global income inequality, measured by the Gini coefficient or comparable metrics, by December 31, 2065. Both conditions must be met for a ""Yes"" answer.",0.25,"Will either the majority of the world's population live under a UBI system by 2055, or will global income inequality increase despite widespread UBI implementation by 2065?

Will either of the following occur:  
(a) By December 31, 2055, over 50% of the world's population will reside in countries that have implemented a universal basic income system providing regular, unconditional payments to all citizens, as reported by the World Bank or United Nations.  
(b) Despite the majority of the world's population living under a UBI system by December 31, 2055, global income inequality (measured by the Gini coefficient or comparable metrics) will increase by December 31, 2065, as reported by international economic organizations?  

Resolution Criteria:  
- For part (a), the resolution will be based on reports from the World Bank or United Nations confirming that over 50% of the world's population resides in countries with a universal basic income system by December 31, 2055.  
- For part (b), the resolution will be based on reports from international economic organizations indicating an increase in global income inequality, measured by the Gini coefficient or comparable metrics, by December 31, 2065, despite the majority of the world's population living under a UBI system by December 31, 2055.",0.25,,,0.3330374315143978
but,"Will a synthetic biological organism designed entirely by artificial intelligence be released into a natural ecosystem by 2040?

By December 31, 2040, will a synthetic biological organism, whose genetic code and design were entirely generated by artificial intelligence without direct human genetic engineering, be intentionally released into a natural ecosystem, as confirmed by scientific publications and regulatory agency records?",0.35,"Will no AI-designed synthetic biological organism be released into a natural ecosystem by 2040, and thus lead to unforeseen ecological consequences requiring global intervention by 2050?

Will both of the following occur:  
(a) By December 31, 2040, no synthetic biological organism, whose genetic code and design were entirely generated by artificial intelligence without direct human genetic engineering, is intentionally released into a natural ecosystem, as confirmed by scientific publications and regulatory agency records.  
(b) Despite the release of the AI-designed synthetic organism by December 31, 2040, unforeseen ecological consequences arise necessitating coordinated global intervention (such as international treaties or large-scale remediation efforts) by December 31, 2050, as reported by international environmental organizations and governments?  

Resolution Criteria:  
- For part (a), confirmation that no such organism has been released will be based on scientific publications and regulatory agency records up to December 31, 2040.  
- For part (b), the occurrence of unforeseen ecological consequences requiring global intervention will be determined by reports from international environmental organizations and governments by December 31, 2050. Both conditions must be met for a ""Yes"" answer.",0.25,"Will either a synthetic biological organism designed by AI be released into a natural ecosystem by 2040, or will this lead to unforeseen ecological consequences requiring global intervention by 2050?

Will either of the following occur:  
(a) By December 31, 2040, a synthetic biological organism, whose genetic code and design were entirely generated by artificial intelligence without direct human genetic engineering, will be intentionally released into a natural ecosystem, as confirmed by scientific publications and regulatory agency records.  
(b) Despite the release of the AI-designed synthetic organism by December 31, 2040, unforeseen ecological consequences will arise necessitating coordinated global intervention (such as international treaties or large-scale remediation efforts) by December 31, 2050, as reported by international environmental organizations and governments?  

Resolution criteria:  
- For part (a), confirmation must come from scientific publications and regulatory agency records that a synthetic biological organism designed entirely by AI was released into a natural ecosystem by the specified date.  
- For part (b), reports from international environmental organizations and governments must confirm that unforeseen ecological consequences occurred, requiring global intervention by the specified date.",0.15,,,0.6103974906535381
cond,"Will a new ideological political party gain majority control in the German Bundestag by 2030?

By December 31, 2030, will a newly established political party, founded after January 1, 2025, with an ideological platform significantly different from existing major parties, gain a majority of seats in the German Bundestag, as confirmed by official election results?",0.02,"Given that a new ideological political party gains majority control in the German Bundestag by 2030, will Germany initiate a process to leave the European Union by 2032?

Given that a newly established political party, founded after January 1, 2025, with an ideological platform significantly different from existing major parties, gains a majority of seats in the German Bundestag by December 31, 2030, this question asks if the German government will officially trigger Article 50 or any equivalent formal process to exit the European Union by December 31, 2032, as reported by official government statements and EU records. This resolves as NO only if the party gains majority control and Germany does not initiate the process; it resolves as YES in all other cases.",0.05,"Will a new ideological political party gain majority control in the German Bundestag by 2030, and if so, will Germany initiate a process to leave the European Union by 2032?

Will both of the following occur:  
(a) By December 31, 2030, a newly established political party, founded after January 1, 2025, with an ideological platform significantly different from existing major parties, gains a majority of seats in the German Bundestag, as confirmed by official election results.  
(b) Conditional on such a party gaining majority control in the German Bundestag by December 31, 2030, the German government officially triggers Article 50 or any equivalent formal process to exit the European Union by December 31, 2032, as reported by official government statements and EU records.",0.01,,,0.085936722942578
